pmcid,keyword_raw,keyword_normalised,licence_code
PMC6398530,Boolean modeling,boolean modeling,by
PMC6398530,lifespan expansion,lifespan expansion,by
PMC6398530,in silico drug screening,in silico drug screening,by
PMC6398530,rapamycin,rapamycin,by
PMC6398530,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC6398530,cancer,cancer,by
PMC6410654,metabolic disease,metabolic disease,by
PMC6410654,adipose tissue,adipose tissue,by
PMC6410654,oxidation,oxidation,by
PMC6410654,blood glucose,blood glucose,by
PMC6410654,physical exercise,physical exercise,by
PMC6410654,diabetes,diabetes,by
PMC6021034,Agonists,agonists,by
PMC6021034,cLogP,clogp,by
PMC6021034,free fatty acid receptor 1,free fatty acid receptor 1,by
PMC6021034,GPR40,gpr40,by
PMC6021034,potency,potency,by
PMC6021034,total polar surface area,total polar surface area,by
PMC6014487,Hydrogen sulfide,hydrogen sulfide,by
PMC6014487,diabetic renal fibrosis,diabetic renal fibrosis,by
PMC6014487,transforming growth factor beta 1,transforming growth factor beta 1,by
PMC6014487,extracellular signal-regulated kinase-1/2,extracellular signal-regulated kinase-1/2,by
PMC6014487,matrix metalloproteinases/tissue inhibitors of metalloproteinases,matrix metalloproteinases/tissue inhibitors of metalloproteinases,by
PMC6014491,Atorvastatin,atorvastatin,by
PMC6014491,diabetic nephropathy,diabetic nephropathy,by
PMC6014491,urinary podocytes,urinary podocytes,by
PMC6014491,proximal tubule biomarkers,proximal tubule biomarkers,by
PMC6014491,advanced glycation end-products,advanced glycation end-products,by
PMC6014526,Diabetes,diabetes,by
PMC6014526,kidney,kidney,by
PMC6014526,chicory,chicory,by
PMC6014526,Na+/glucose cotransporters,na+/glucose cotransporters,by
PMC5839224,antibiotic prophylaxis,antibiotic prophylaxis,by
PMC5839224,intraepithelial infection,intraepithelial infection,by
PMC5839224,organ culture model,organ culture model,by
PMC5839224,periodontal disease,periodontal disease,by
PMC5839219,diabetes mellitus,diabetes mellitus,by
PMC5839219,estimated glomerular filtration rate,estimated glomerular filtration rate,by
PMC5839219,kidney dysfunction,kidney dysfunction,by
PMC5839219,periodontitis,periodontitis,by
PMC8730627,ilioinguinal nerve,ilioinguinal nerve,by
PMC8730627,iliohypogastric nerve,iliohypogastric nerve,by
PMC8730627,nerve block,nerve block,by
PMC8730627,abdominal wall,abdominal wall,by
PMC8730627,neuropathic pain,neuropathic pain,by
PMC8730627,injection,injection,by
PMC8730627,steroids,steroids,by
PMC6748682,Antioxidants,antioxidants,by
PMC6748682,diabetes,diabetes,by
PMC6748682,drug management,drug management,by
PMC6748682,vitamin C,vitamin c,by
PMC6748682,vitamin E,vitamin e,by
PMC7011978,Enzyme retardation,enzyme retardation,by
PMC7011978,Zataria multifolra,zataria multifolra,by
PMC7011978,Salvia mirzayanii,salvia mirzayanii,by
PMC7011978,Otostegia persica,otostegia persica,by
PMC6446227,Type 2 diabetes,type 2 diabetes,by
PMC6446227,diabetic nephropathy,diabetic nephropathy,by
PMC6446227,fibrosis,fibrosis,by
PMC6446227,TGF-β,tgf-β,by
PMC6446227,BMP,bmp,by
PMC6446227,kidney,kidney,by
PMC6446172,Depression,depression,by
PMC6446172,chronic kidney disease,chronic kidney disease,by
PMC6446172,physical activity,physical activity,by
PMC6446172,China,china,by
PMC6446172,inflammation,inflammation,by
PMC6446175,Type 2 diabetes,type 2 diabetes,by
PMC6446175,diabetic nephropathy,diabetic nephropathy,by
PMC6446175,microalbuminuria,microalbuminuria,by
PMC6446175,TIMP-2,timp-2,by
PMC6446175,AKR1B1,akr1b1,by
PMC6446175,methylation,methylation,by
PMC6372118,Diabetes,diabetes,by
PMC6372118,young adults,young adults,by
PMC6372118,stress,stress,by
PMC5933488,pancreatic cancer,pancreatic cancer,by
PMC5933488,median arcuate ligament syndrome,median arcuate ligament syndrome,by
PMC5933488,neoadjuvant chemotherapy,neoadjuvant chemotherapy,by
PMC5933488,modified Appleby procedure,modified appleby procedure,by
PMC5933488,hepatic artery,hepatic artery,by
PMC8114386,Diabetes mellitus,diabetes mellitus,by
PMC8114386,sedentary lifestyle,sedentary lifestyle,by
PMC8114386,adherence,adherence,by
PMC8114386,physical activity,physical activity,by
PMC8114386,self-determination theory,self-determination theory,by
PMC8766235,Stomach neoplasms,stomach neoplasms,by
PMC8766235,Reconstructive surgical procedures,reconstructive surgical procedures,by
PMC8766235,Diabetes mellitus,diabetes mellitus,by
PMC7800552,Psammomys obesus,psammomys obesus,by
PMC7800552,mitochondrial genome,mitochondrial genome,by
PMC7800552,protein-coding genes,protein-coding genes,by
PMC7800552,phylogeny,phylogeny,by
PMC7379708,cats,cats,by
PMC7379708,glucose,glucose,by
PMC7379708,glucose‐to‐creatinine ratio,glucose‐to‐creatinine ratio,by
PMC7379708,urine,urine,by
PMC7325708,disparities,disparities,by
PMC7325708,Hispanics/Latinos,hispanics/latinos,by
PMC7325708,African Americans/blacks,african americans/blacks,by
PMC6748702,Loranthus micranthus,loranthus micranthus,by
PMC6748702,spermiogram,spermiogram,by
PMC6748702,diabetes,diabetes,by
PMC6748702,oxidative stress,oxidative stress,by
PMC6748702,apoptosis,apoptosis,by
PMC6748702,steroid hormones,steroid hormones,by
PMC6748702,male rats,male rats,by
PMC6986786,Cardiac ion channels,cardiac ion channels,by
PMC6986786,chaperones,chaperones,by
PMC6986786,early afterdepolarizations,early afterdepolarizations,by
PMC6986786,ER stress,er stress,by
PMC6986786,long QT,long qt,by
PMC6986786,oxidative stress,oxidative stress,by
PMC6986786,RNA stability,rna stability,by
PMC6986786,sudden cardiac death,sudden cardiac death,by
PMC6973524,Behaviour change,behaviour change,by
PMC6973524,Intervention development,intervention development,by
PMC6973524,Complex intervention,complex intervention,by
PMC6973524,Implementation,implementation,by
PMC6973524,Type 1 Diabetes,type 1 diabetes,by
PMC6973524,Young adults,young adults,by
PMC6973524,Public and patient involvement,public and patient involvement,by
PMC6973531,Informed consent,informed consent,by
PMC6973531,Understanding,understanding,by
PMC6973531,GDM,gdm,by
PMC6973531,Pregnancy,pregnancy,by
PMC6973531,Decision aid,decision aid,by
PMC6768253,adipocyte fatty acid-binding protein,adipocyte fatty acid-binding protein,by
PMC6768253,adipokines,adipokines,by
PMC6768253,adipose tissue,adipose tissue,by
PMC6768253,adipocyte size,adipocyte size,by
PMC6768253,BMI,bmi,by
PMC6768253,body composition,body composition,by
PMC6768253,gestational diabetes mellitus,gestational diabetes mellitus,by
PMC6768253,prediabetes,prediabetes,by
PMC6768253,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC6768253,weight gain,weight gain,by
PMC6680058,body mass index,body mass index,by
PMC6680058,ischemic stroke subtypes,ischemic stroke subtypes,by
PMC6680058,general population,general population,by
PMC6680058,cohort study,cohort study,by
PMC6680058,sub-distribution hazard ratio,sub-distribution hazard ratio,by
PMC6685450,Tsimane,tsimane,by
PMC6685450,Low-Grade Inflammation,low-grade inflammation,by
PMC6685450,Eifel studies,eifel studies,by
PMC6685450,Non-communicable diseases,non-communicable diseases,by
PMC11809638,CNS lymphoma,cns lymphoma,by
PMC11809638,Meningioma,meningioma,by
PMC11809638,Collision tumor,collision tumor,by
PMC8642687,diabetic nephropathy,diabetic nephropathy,by
PMC8642687,exosomes,exosomes,by
PMC8642687,human urine‐derived stem cells,human urine‐derived stem cells,by
PMC8642687,microRNA‐16‐5p,microrna‐16‐5p,by
PMC8642687,podocyte,podocyte,by
PMC8642687,vascular endothelial growth factor A,vascular endothelial growth factor a,by
PMC8114388,Illness perceptions,illness perceptions,by
PMC8114388,coping strategy,coping strategy,by
PMC8114388,diabetes,diabetes,by
PMC8114388,health behaviour,health behaviour,by
PMC8114388,Indonesia,indonesia,by
PMC8650574,diet,diet,by
PMC8650574,gene‐lifestyle interaction,gene‐lifestyle interaction,by
PMC8650574,incident type 2 diabetes,incident type 2 diabetes,by
PMC8650574,physical activity,physical activity,by
PMC8650574,weight loss intervention,weight loss intervention,by
PMC8565652,gonadotrophins,gonadotrophins,by
PMC8565652,hypogonadism,hypogonadism,by
PMC8565652,kisspeptin,kisspeptin,by
PMC8565652,testosterone,testosterone,by
PMC8565652,type 2 diabetes,type 2 diabetes,by
PMC8445043,adiponectin,adiponectin,by
PMC8445043,brachia‐ankle pulse wave velocity,brachia‐ankle pulse wave velocity,by
PMC8445043,chemerin,chemerin,by
PMC8445043,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC8445043,vascular stiffness,vascular stiffness,by
PMC8114398,Diabetes,diabetes,by
PMC8114398,knowledge and awareness,knowledge and awareness,by
PMC8114398,student,student,by
PMC8114398,Ghana,ghana,by
PMC8114398,demographics,demographics,by
PMC8114398,diabetes education,diabetes education,by
PMC8114354,Social support,social support,by
PMC8114354,gestational diabetes mellitus,gestational diabetes mellitus,by
PMC8114354,physical activity,physical activity,by
PMC8114354,peer counselling,peer counselling,by
PMC7889786,Arcanobacterium haemolyticum,arcanobacterium haemolyticum,by
PMC7889786,intrathoracic mass lesion,intrathoracic mass lesion,by
PMC7889786,diabetes mellitus,diabetes mellitus,by
PMC7889786,compromised host,compromised host,by
PMC7930707,preoperative data,preoperative data,by
PMC7930707,renal parenchymal volume,renal parenchymal volume,by
PMC7930707,elderly population,elderly population,by
PMC7733742,Spindle cell carcinoma,spindle cell carcinoma,by
PMC7733742,Pembrolizumab,pembrolizumab,by
PMC7733742,PD-L1,pd-l1,by
PMC7733742,Sarcomatoid carcinoma,sarcomatoid carcinoma,by
PMC7685098,glycosylated haemoglobin,glycosylated haemoglobin,by
PMC7685098,meta‐analysis,meta‐analysis,by
PMC7685098,prediabetes,prediabetes,by
PMC7685098,structural brain abnormalities,structural brain abnormalities,by
PMC7475957,Cord blood leptin,cord blood leptin,by
PMC7475957,cord blood insulin,cord blood insulin,by
PMC7475957,adiposity,adiposity,by
PMC7475957,ethnicity,ethnicity,by
PMC7663970,C‐X‐C motif chemokine 10,c‐x‐c motif chemokine 10,by
PMC7663970,Glutamic decarboxylase‐65,glutamic decarboxylase‐65,by
PMC7663970,Type 1 diabetes,type 1 diabetes,by
PMC7557172,validation study,validation study,by
PMC7557172,self-report,self-report,by
PMC7557172,type 2 diabetes,type 2 diabetes,by
PMC7557172,personal characteristics,personal characteristics,by
PMC7482795,Human papillomavirus (HPV),human papillomavirus (hpv),by
PMC7482795,AS04-adjuvanted HPV-16/18 vaccine,as04-adjuvanted hpv-16/18 vaccine,by
PMC7482795,adolescents,adolescents,by
PMC7482795,safety,safety,by
PMC7482795,autoimmune disease,autoimmune disease,by
PMC7482795,insulin-dependent diabetes mellitus,insulin-dependent diabetes mellitus,by
PMC7446035,Microbial keratitis,microbial keratitis,by
PMC7446035,keratitis,keratitis,by
PMC7446035,diabetes mellitus,diabetes mellitus,by
PMC7446035,HIV,hiv,by
PMC7446035,blindness,blindness,by
PMC7446035,Uganda,uganda,by
PMC7348080,diabetes mellitus,diabetes mellitus,by
PMC7348080,albuminuria,albuminuria,by
PMC7348080,estimated glomerular filtration rate,estimated glomerular filtration rate,by
PMC7348080,diabetic nephropathy,diabetic nephropathy,by
PMC7348080,quality indicator,quality indicator,by
PMC11623971,miR-320,mir-320,by
PMC11623971,cytoplasm,cytoplasm,by
PMC11623971,nuclear,nuclear,by
PMC11623971,metabolic disorders,metabolic disorders,by
PMC11623971,hyperlipidemia,hyperlipidemia,by
PMC9902048,cardiorespiratory fitness (CRF),cardiorespiratory fitness (crf),by
PMC9902048,physical activity,physical activity,by
PMC9902048,women's health,women's health,by
PMC9290692,BMI,bmi,by
PMC9290692,care dependency,care dependency,by
PMC9290692,intensive care unit,intensive care unit,by
PMC9290692,nursing care problems,nursing care problems,by
PMC9290692,obesity,obesity,by
PMC8825946,Systematic Review,systematic review,by
PMC8825946,Self-Management,self-management,by
PMC8825946,Chronic Diseases,chronic diseases,by
PMC8825946,Mixed-Methods Research,mixed-methods research,by
PMC8825946,Patient Preferences,patient preferences,by
PMC8825946,Outcomes,outcomes,by
PMC8749489,Type 2 diabetes,type 2 diabetes,by
PMC8749489,Twice daily,twice daily,by
PMC8749489,Long-acting,long-acting,by
PMC8749489,Premixed,premixed,by
PMC8749489,Insulin,insulin,by
PMC8641666,Diabetic wounds,diabetic wounds,by
PMC8641666,re-epithelialization,re-epithelialization,by
PMC8641666,CXCL1,cxcl1,by
PMC8641666,CXCL2,cxcl2,by
PMC8641666,VEGF,vegf,by
PMC8641666,fibroblast transformation,fibroblast transformation,by
PMC7942195,haploidentical,haploidentical,by
PMC7942195,hematopoietic cell transplant,hematopoietic cell transplant,by
PMC7942195,posttransplant diabetes mellitus,posttransplant diabetes mellitus,by
PMC8404492,education,education,by
PMC8404492,income,income,by
PMC8404492,periodontal disease,periodontal disease,by
PMC8404492,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC9794446,fasting blood glucose,fasting blood glucose,by
PMC9794446,cognitive assessment,cognitive assessment,by
PMC9794446,middle aged,middle aged,by
PMC9794446,diabetes mellitus,diabetes mellitus,by
PMC9751497,Randomised controlled trial,randomised controlled trial,by
PMC9751497,Pregnancy,pregnancy,by
PMC9751497,Gestational diabetes mellitus,gestational diabetes mellitus,by
PMC11262332,sodium-glucose cotransporter-2 inhibitors,sodium-glucose cotransporter-2 inhibitors,by
PMC11262332,atrial fibrillation,atrial fibrillation,by
PMC11262332,thiazolidinediones,thiazolidinediones,by
PMC11262332,diabetes mellitus type 2,diabetes mellitus type 2,by
PMC11262333,near-infrared spectroscopy,near-infrared spectroscopy,by
PMC11262333,blood perfusion,blood perfusion,by
PMC11262333,wound healing,wound healing,by
PMC11262333,chronic limb-threatening ischemia,chronic limb-threatening ischemia,by
PMC11262333,below the knee,below the knee,by
PMC11262333,chronic total occlusion,chronic total occlusion,by
PMC11273979,diabetic cardiomyopathy,diabetic cardiomyopathy,by
PMC11273979,retinol binding protein 4,retinol binding protein 4,by
PMC11273979,diabetes mellitus,diabetes mellitus,by
PMC11273979,risk factor,risk factor,by
PMC11270380,SGLT2 inhibitors,sglt2 inhibitors,by
PMC11270380,hypertension,hypertension,by
PMC11270380,race/ethnicity,race/ethnicity,by
PMC11270380,non-Hispanic Black patients,non-hispanic black patients,by
PMC11270380,disparities,disparities,by
PMC11270380,social determinants,social determinants,by
PMC11270380,blood pressure,blood pressure,by
PMC11269069,cardiovascular disease,cardiovascular disease,by
PMC11269069,anti-PCSK9 antibody,anti-pcsk9 antibody,by
PMC11269069,proprotein convertase subtilisin/kexin type 9 inhibitors,proprotein convertase subtilisin/kexin type 9 inhibitors,by
PMC11269069,statin,statin,by
PMC11269069,adverse effects,adverse effects,by
PMC11269069,hypolipidemic therapy,hypolipidemic therapy,by
PMC11080919,adipocytes,adipocytes,by
PMC11080919,exosomes,exosomes,by
PMC11080919,extracellular vesicles,extracellular vesicles,by
PMC11080919,hepatocytes,hepatocytes,by
PMC11080919,inflammation,inflammation,by
PMC11080919,liver steatosis,liver steatosis,by
PMC11080919,metabolic syndrome,metabolic syndrome,by
PMC11080919,microvesicles,microvesicles,by
PMC11080919,obesity,obesity,by
PMC11080919,Zucker model,zucker model,by
PMC11266950,anti-Müllerian hormone,anti-müllerian hormone,by
PMC11266950,AMH,amh,by
PMC11266950,coronary artery disease,coronary artery disease,by
PMC11266950,stroke,stroke,by
PMC11266950,type 2 diabetes,type 2 diabetes,by
PMC11266950,Mendelian randomization,mendelian randomization,by
PMC11266950,women,women,by
PMC11134139,Systemic lupus erythematosus,systemic lupus erythematosus,by
PMC11134139,digital gangrene,digital gangrene,by
PMC11134139,vasculitis,vasculitis,by
PMC11273890,SGLT2 inhibitors,sglt2 inhibitors,by
PMC11273890,heart failure,heart failure,by
PMC11273890,acute,acute,by
PMC11273890,admission,admission,by
PMC11273890,congestion,congestion,by
PMC11273890,safety,safety,by
PMC11270468,myocardial infarction,myocardial infarction,by
PMC11270468,stroke,stroke,by
PMC11270468,diabetes,diabetes,by
PMC11270468,hypertension,hypertension,by
PMC11270468,kinanthropometry,kinanthropometry,by
PMC11270468,body weights and measures,body weights and measures,by
PMC11270454,acute myocardial infarction,acute myocardial infarction,by
PMC11270454,"1,5-anhydroglucitol","1,5-anhydroglucitol",by
PMC11270454,major adverse cardiovascular and cerebrovascular events,major adverse cardiovascular and cerebrovascular events,by
PMC11270454,all-cause mortality,all-cause mortality,by
PMC11273855,diabetic neuropathy,diabetic neuropathy,by
PMC11273855,current perception threshold,current perception threshold,by
PMC11273855,fibroblast growth factor-21,fibroblast growth factor-21,by
PMC11273855,inflammation,inflammation,by
PMC11273855,oxidative stress,oxidative stress,by
PMC11273855,physical activity,physical activity,by
PMC11273665,triglycerides to high-density lipoprotein cholesterol,triglycerides to high-density lipoprotein cholesterol,by
PMC11273665,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC11273665,acute coronary syndrome,acute coronary syndrome,by
PMC11273665,all-cause mortality,all-cause mortality,by
PMC11273665,cardiac death,cardiac death,by
PMC11273665,cardiovascular disease,cardiovascular disease,by
PMC11273665,retrospective,retrospective,by
PMC11273869,major cardiovascular events,major cardiovascular events,by
PMC11273869,metabolic syndrome,metabolic syndrome,by
PMC11273869,carotid strain,carotid strain,by
PMC11273869,carotid strain rate,carotid strain rate,by
PMC11273869,subclinical atherosclerosis,subclinical atherosclerosis,by
PMC11269068,obesity,obesity,by
PMC11269068,metabolic syndrome,metabolic syndrome,by
PMC11269068,cardiorespiratory,cardiorespiratory,by
PMC11269068,cardiovascular disease,cardiovascular disease,by
PMC11269068,exercise,exercise,by
PMC11269068,weight fluctuation,weight fluctuation,by
PMC11269068,body weight variability,body weight variability,by
PMC11269073,gut microbiota,gut microbiota,by
PMC11269073,inflammation,inflammation,by
PMC11269073,endothelial function,endothelial function,by
PMC11269073,prebiotics,prebiotics,by
PMC11269073,probiotics,probiotics,by
PMC11269073,metabolites,metabolites,by
PMC11269073,trimethylamine N-oxide (TMAO),trimethylamine n-oxide (tmao),by
PMC11270478,ventricular thrombus,ventricular thrombus,by
PMC11270478,prediction model,prediction model,by
PMC11270478,thromboembolism,thromboembolism,by
PMC11269072,sodium-glucose cotransporter 2 inhibitors,sodium-glucose cotransporter 2 inhibitors,by
PMC11269072,canagliflozin,canagliflozin,by
PMC11269072,dapagliflozin,dapagliflozin,by
PMC11269072,empagliflozin,empagliflozin,by
PMC11269072,sotagliflozin,sotagliflozin,by
PMC11269072,heart failure,heart failure,by
PMC11269072,preserved ejection fraction,preserved ejection fraction,by
PMC11269072,reduced ejection fraction,reduced ejection fraction,by
PMC10103874,cardiovascular disease,cardiovascular disease,by
PMC10103874,cognitive function,cognitive function,by
PMC10103874,inflammation,inflammation,by
PMC10103874,integrative physiology,integrative physiology,by
PMC10103874,ketone monoester,ketone monoester,by
PMC10103874,ketosis,ketosis,by
PMC10103874,metabolic health,metabolic health,by
PMC10103874,metabolism,metabolism,by
PMC10103874,nutrition,nutrition,by
PMC10103874,type 2 diabetes,type 2 diabetes,by
PMC10043905,COVID-19,covid-19,by
PMC10043905,mortality,mortality,by
PMC10043905,favipiravir,favipiravir,by
PMC9994505,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC9994505,stigmatization,stigmatization,by
PMC9994505,self esteem,self esteem,by
PMC9994505,self efficacy,self efficacy,by
PMC9998049,quality of life,quality of life,by
PMC9998049,diabetes melitus,diabetes melitus,by
PMC9998049,disease-specific,disease-specific,by
PMC10730987,Health literacy,health literacy,by
PMC10730987,blood sugar level control,blood sugar level control,by
PMC10730987,type 2 diabetes,type 2 diabetes,by
PMC10730987,primary care unit,primary care unit,by
PMC10730987,Thailand,thailand,by
PMC10593247,Type 2 diabetes,type 2 diabetes,by
PMC10593247,South East Asian population,south east asian population,by
PMC10593247,diabetes remission,diabetes remission,by
PMC10593247,primary care,primary care,by
PMC10593247,total diet replacement,total diet replacement,by
PMC10593247,weight control,weight control,by
PMC10483375,endothelial progenitor cells,endothelial progenitor cells,by
PMC10483375,mesenchymal stromal cells,mesenchymal stromal cells,by
PMC10483375,cardiorespiratory fitness,cardiorespiratory fitness,by
PMC10483375,physical inactivity,physical inactivity,by
PMC10483375,resistance training,resistance training,by
PMC10483375,aerobic exercise,aerobic exercise,by
PMC10483375,flow-mediated dilation,flow-mediated dilation,by
PMC10483375,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC10483375,prediabetes,prediabetes,by
PMC10483375,obesity,obesity,by
PMC10405895,Pancreas transplantation,pancreas transplantation,by
PMC10405895,Quality of life,quality of life,by
PMC10405895,Type 1 diabetes mellitus,type 1 diabetes mellitus,by
PMC10405895,Diabetic kidney disease,diabetic kidney disease,by
PMC12039747,alcohol,alcohol,by
PMC12039747,diabetes mellitus,diabetes mellitus,by
PMC12039747,hypoglycemia,hypoglycemia,by
PMC12039747,knowledge,knowledge,by
PMC12624264,betel,betel,by
PMC12624264,gambier,gambier,by
PMC12624264,T2DM,t2dm,by
PMC12624264,blood glucose levels,blood glucose levels,by
PMC12624264,Batak-Karo ethnics,batak-karo ethnics,by
PMC12352573,Children,children,by
PMC12352573,Type 1 diabetes,type 1 diabetes,by
PMC12352573,Mismanagement,mismanagement,by
PMC12352573,Meal bolus,meal bolus,by
PMC12352573,Bolus omission,bolus omission,by
PMC12352573,Hybrid closed loop,hybrid closed loop,by
PMC11923534,Type 2 Diabetes mellitus,type 2 diabetes mellitus,by
PMC11923534,Cross-sectional study,cross-sectional study,by
PMC11923534,Blood glucose self-monitoring,blood glucose self-monitoring,by
PMC11923534,Socioeconomic status,socioeconomic status,by
PMC11923534,Diabetes Obstacles Questionnaire-30,diabetes obstacles questionnaire-30,by
PMC11935230,glucose sensing,glucose sensing,by
PMC11935230,hydrogels,hydrogels,by
PMC11935230,nanocomposite,nanocomposite,by
PMC11935230,optical fiber,optical fiber,by
PMC11854049,Gestational diabetes mellitus,gestational diabetes mellitus,by
PMC11854049,mother-infant bonding,mother-infant bonding,by
PMC11854049,perinatal mental health,perinatal mental health,by
PMC11854049,pregnancy,pregnancy,by
PMC11854049,postnatal,postnatal,by
PMC11578018,Alzheimer's disease,alzheimer's disease,by
PMC11578018,cognitive impairment's factors,cognitive impairment's factors,by
PMC11578018,complete enumeration survey,complete enumeration survey,by
PMC11578018,diabetes mellitus,diabetes mellitus,by
PMC11411246,Early life adiposity,early life adiposity,by
PMC11411246,lipoprotein lipids,lipoprotein lipids,by
PMC11411246,cardiometabolic disease,cardiometabolic disease,by
PMC11411246,genetic correlations,genetic correlations,by
PMC11411246,ALSPAC,alspac,by
PMC11409437,Type1 diabetes,type1 diabetes,by
PMC11409437,epidemiological characteristics,epidemiological characteristics,by
PMC11409437,glycemic control,glycemic control,by
PMC11409437,blood glucose,blood glucose,by
PMC11421492,Porosome,porosome,by
PMC11421492,membrane portal,membrane portal,by
PMC11421492,discovery.,discovery.,by
PMC11387936,COVID-19,covid-19,by
PMC11387936,SARS-CoV-2,sars-cov-2,by
PMC11387936,type 1 diabetes mellitus,type 1 diabetes mellitus,by
PMC11387936,diabetic ketoacidosis,diabetic ketoacidosis,by
PMC11387936,pediatrics,pediatrics,by
PMC11387936,child,child,by
PMC11387936,systematic review,systematic review,by
PMC11387936,meta-analysis,meta-analysis,by
PMC11272856,diabetes mellitus,diabetes mellitus,by
PMC11272856,cardiovascular heart disease,cardiovascular heart disease,by
PMC11272856,Gensini score,gensini score,by
PMC11272856,MACCEs,macces,by
PMC11263992,patent ductus arteriosus,patent ductus arteriosus,by
PMC11263992,fluid balance,fluid balance,by
PMC11263992,ibuprofen,ibuprofen,by
PMC11263992,preterm infants,preterm infants,by
PMC11273146,SGLT2 inhibitors,sglt2 inhibitors,by
PMC11273146,metabolic diseases,metabolic diseases,by
PMC11273146,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC11364966,dyslipidemia,dyslipidemia,by
PMC11364966,arterial stiffness,arterial stiffness,by
PMC11364966,cardiovascular disease,cardiovascular disease,by
PMC11364966,risk,risk,by
PMC11364966,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC11273123,retinol binding protein 4,retinol binding protein 4,by
PMC11273123,coronary heart disease,coronary heart disease,by
PMC11273123,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC11273123,intravascular ultrasound,intravascular ultrasound,by
PMC11273123,elasticity parameters,elasticity parameters,by
PMC11272880,acute coronary syndrome,acute coronary syndrome,by
PMC11272880,adipose tissue,adipose tissue,by
PMC11272880,computed tomography angiography,computed tomography angiography,by
PMC11272880,coronary artery disease,coronary artery disease,by
PMC11272880,diabetes mellitus,diabetes mellitus,by
PMC11273054,cardiovascular disease,cardiovascular disease,by
PMC11273054,cardiovascular risk,cardiovascular risk,by
PMC11273054,gut microbiota,gut microbiota,by
PMC11273054,sleep disorder,sleep disorder,by
PMC11273054,psychosocial factors,psychosocial factors,by
PMC11273054,Vitamin D deficiency,vitamin d deficiency,by
PMC11273054,environmental exposure,environmental exposure,by
PMC11273054,hyperhomocysteinemia,hyperhomocysteinemia,by
PMC11273054,hyperuricemia,hyperuricemia,by
PMC11270412,SGLT2 inhibitor,sglt2 inhibitor,by
PMC11270412,gliflozin,gliflozin,by
PMC11270412,heart failure,heart failure,by
PMC11270412,diabetes,diabetes,by
PMC11270412,HFpEF,hfpef,by
PMC11270396,estimated glucose disposal rate,estimated glucose disposal rate,by
PMC11270396,non-ST-segment elevation acute coronary syndrome,non-st-segment elevation acute coronary syndrome,by
PMC11270396,percutaneous coronary intervention,percutaneous coronary intervention,by
PMC11270396,prognosis,prognosis,by
PMC11266479,iron deficiency,iron deficiency,by
