pmcid,pmid,doi,licence,licence_source,retrieval_batch,keyword_group_classification_rule,n_confidently_author_keywords,included_in_benchmark_construction
PMC6014491,27841047.0,10.1080/0886022X.2016.1254657,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ddcd569c2434294,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6014526,27846769.0,10.1080/0886022X.2016.1256317,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ddcd569c2434294,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC5839224,29744173.0,10.1002/cre2.48,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ddcd569c2434294,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC5839219,29744168.0,10.1002/cre2.39,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e9ed0f6ee2b11775,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC8730627,35005356.0,10.1080/24740527.2017.1403846,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_9301780de3646d95,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC6748682,28514939.0,10.1080/13510002.2017.1324381,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_9301780de3646d95,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7011978,28367665.0,10.1080/13880209.2017.1306569,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_c33560744d3d1929,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC6446227,28805484.0,10.1080/0886022X.2017.1361837,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4dc8d2d087da1b41,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC6446172,28805539.0,10.1080/0886022X.2017.1361833,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4dc8d2d087da1b41,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6446175,28805547.0,10.1080/0886022X.2017.1358180,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4dc8d2d087da1b41,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC6372118,30766762.0,10.1080/21642850.2017.1415810,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8f8c851550ff060f,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC5933488,30631841.0,10.1089/pancan.2017.0008,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8f8c851550ff060f,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8114386,34040824.0,10.1080/21642850.2018.1462707,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_117bef9f1f2c8552,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8766235,35111493.0,10.20407/fmj.2018-004,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_117bef9f1f2c8552,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC7800552,33474080.0,10.1080/23802359.2017.1422396,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f022e297122050df,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7379708,30375076.0,10.1111/jpn.13018,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f022e297122050df,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7325708,32612896.0,10.1089/bari.2017.0037,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f058f1a722b280c2,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC6748702,30376784.0,10.1080/13510002.2018.1540675,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f058f1a722b280c2,confidently_author only (ambiguous/clearly_not_author excluded),7,False
PMC6986786,30165782.0,10.1080/19336950.2018.1516985,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f058f1a722b280c2,confidently_author only (ambiguous/clearly_not_author excluded),8,True
PMC6973524,32002502.0,10.12688/hrbopenres.12803.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_767f79aac5e4a027,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC6973531,32002505.0,10.12688/hrbopenres.12811.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_767f79aac5e4a027,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6768253,30246599.0,10.1080/21623945.2018.1521230,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8a1323acefd7d482,confidently_author only (ambiguous/clearly_not_author excluded),10,True
PMC6680058,30555115.0,10.2188/jea.JE20170298,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_acdacfb7b14a06a2,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6685450,31448076.0,10.12688/f1000research.14052.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_7d0ddd5f4b2e4c32,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11809638,39931233.0,10.12688/f1000research.17770.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58bfc65324d601fc,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC8642687,31568645.0,10.1111/jcmm.14558,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC8114388,34040859.0,10.1080/21642850.2019.1699101,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8650574,31478326.0,10.1111/obr.12921,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8565652,34505408.0,10.1002/edm2.70,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8445043,34553107.0,10.1002/agm2.12087,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8114398,34040849.0,10.1080/21642850.2019.1637261,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC8114354,34040844.0,10.1080/21642850.2019.1612750,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_92b58372c7115e5b,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7889786,33615031.0,10.31662/jmaj.2018-0036,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a6f42aa44188f1d5,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7930707,33681514.0,10.31662/jmaj.2018-0021,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a6f42aa44188f1d5,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC7733742,33324781.0,10.31662/jmaj.2019-0015,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_5afb396e9a6ed9eb,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7685098,31856401.0,10.1002/dmrr.3261,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_5afb396e9a6ed9eb,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7475957,32954010.0,10.12688/wellcomeopenres.15433.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fc1170d1ef3ef3ba,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7663970,30919585.0,10.1111/jdi.13052,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fc1170d1ef3ef3ba,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC7557172,31656244.0,10.2188/jea.JE20190178,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fc1170d1ef3ef3ba,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7482795,31829767.0,10.1080/21645515.2019.1692557,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fc1170d1ef3ef3ba,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC7446035,31640454.0,10.1080/09286586.2019.1682619,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fc1170d1ef3ef3ba,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC7348080,31204363.0,10.2188/jea.JE20180255,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a40d00a8fdb8466a,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC11623971,33186123.0,10.18632/aging.104040,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a6d009915d44b16c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC9902048,36755796.0,10.1089/whr.2020.0045,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_72910e13348be047,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC9290692,32954581.0,10.1111/nicc.12554,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e5576182a1c25cd7,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8825946,35186277.0,10.12688/f1000research.22125.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_95e334b695cc900b,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC8749489,35111536.0,10.20407/fmj.2019-023,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_95e334b695cc900b,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8641666,32870741.0,10.1080/13880209.2020.1803369,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e1b1344d054ce326,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC7942195,33709085.0,10.1002/jha2.70,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6ae2689e42210d75,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC8404492,33258300.0,10.1002/cre2.363,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_c44570909f8c6f4a,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9794446,34024876.0,10.2188/jea.JE20210128,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_2c2b6db03ae95e88,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC9751497,36568043.0,10.12688/hrbopenres.13289.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_927a0707db3303b1,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC11262332,39077692.0,10.31083/j.rcm2309303,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_50b389eeddde5633,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11262333,39077693.0,10.31083/j.rcm2309299,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_50b389eeddde5633,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC11273979,39076230.0,10.31083/j.rcm2304115,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11270380,39076675.0,10.31083/j.rcm2312411,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC11269069,39076187.0,10.31083/j.rcm2311380,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC11080919,38938664.0,10.1002/jex2.32,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),10,True
PMC11266950,39076620.0,10.31083/j.rcm2308269,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC11134139,38813136.0,10.12688/f1000research.124225.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC11273890,39076216.0,10.31083/j.rcm2304139,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC11270468,39076676.0,10.31083/j.rcm2312414,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC11270454,39076658.0,10.31083/j.rcm2312394,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11273855,39077619.0,10.31083/j.rcm2305160,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC11273665,39077180.0,10.31083/j.rcm2306190,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC11273869,39076235.0,10.31083/j.rcm2304146,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11269068,39076198.0,10.31083/j.rcm2311364,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC11269073,39076202.0,10.31083/j.rcm2311365,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),7,False
PMC11270478,39076670.0,10.31083/j.rcm2312390,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC11269072,39076185.0,10.31083/j.rcm2311374,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_fd6371161ccf3b3a,confidently_author only (ambiguous/clearly_not_author excluded),8,True
PMC10103874,36533967.0,10.1113/EP090430,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_59e6eaafaa285a5f,confidently_author only (ambiguous/clearly_not_author excluded),10,False
PMC10043905,36379528.0,10.15537/smj.2022.43.11.20220641,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3f5608a1cfa92831,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC9994505,36261206.0,10.15537/smj.2022.43.10.20220344,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3f5608a1cfa92831,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9998049,35414620.0,10.15537/smj.2022.43.4.20210861,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3f5608a1cfa92831,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC10730987,38124778.0,10.12688/f1000research.74225.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3f5608a1cfa92831,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC10593247,37881774.0,10.3310/nihropenres.13233.4,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a93fc488fb218955,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC10483375,37680455.0,10.31083/j.rcm2312396,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_2b17347e5d9b4b26,confidently_author only (ambiguous/clearly_not_author excluded),10,False
PMC10405895,37554935.0,10.20407/fmj.2022-019,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_2b17347e5d9b4b26,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC12039747,40496787.0,10.1002/puh2.130,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6d964c6bff384c8d,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC12624264,41262217.0,10.12688/f1000research.75763.4,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6d964c6bff384c8d,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC12352573,36927054.0,10.1089/dia.2022.0518,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6d964c6bff384c8d,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC11923534,40115411.0,10.12688/f1000research.138146.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_b54ccb35824b138a,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11935230,40212347.0,10.1002/smsc.202300189,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_b54ccb35824b138a,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11854049,37493446.0,10.1080/02646838.2023.2239834,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_5c2df56e43fe1509,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC11578018,37483119.0,10.1111/psyg.13012,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_5c2df56e43fe1509,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11411246,39301199.0,10.12688/wellcomeopenres.16928.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8a45e7b85ff28031,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11409437,39296354.0,10.12688/f1000research.126561.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8a45e7b85ff28031,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11421492,39323507.0,10.15190/d.2023.15,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8a45e7b85ff28031,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC11387936,39262444.0,10.12688/f1000research.128687.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_8a45e7b85ff28031,confidently_author only (ambiguous/clearly_not_author excluded),8,True
PMC11272856,39076425.0,10.31083/j.rcm2411319,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11263992,39077496.0,10.31083/j.rcm2403078,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11273146,39077405.0,10.31083/j.rcm2402036,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC11364966,39221025.0,10.12688/f1000research.128627.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11273123,39077416.0,10.31083/j.rcm2402033,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC11272880,39077073.0,10.31083/j.rcm2412361,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11273054,39076735.0,10.31083/j.rcm2405134,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),9,True
PMC11270412,39076855.0,10.31083/j.rcm2401001,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11270396,39076873.0,10.31083/j.rcm2401002,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11266479,39077024.0,10.31083/j.rcm2407209,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11270397,39076858.0,10.31083/j.rcm2401003,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC11273156,39077407.0,10.31083/j.rcm2402037,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC11273130,39077417.0,10.31083/j.rcm2402053,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11272855,39076427.0,10.31083/j.rcm2411317,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11273134,39077565.0,10.31083/j.rcm2410298,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11266831,39076723.0,10.31083/j.rcm2408238,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC11333916,38149757.0,10.1111/1753-0407.13521,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC11264001,39077488.0,10.31083/j.rcm2403065,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11272830,39076450.0,10.31083/j.rcm2411335,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC11272887,39076448.0,10.31083/j.rcm2411318,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e44210a255e6d2c,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC11262450,39076384.0,10.31083/j.rcm2409258,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_07d2adafe1b68f3b,confidently_author only (ambiguous/clearly_not_author excluded),9,True
PMC12776363,38277156.0,10.1089/dia.2023.0506,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_0ea15141646fa21b,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC7617301,39576749.0,10.1113/JP286293,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_7e958af5468bc92e,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC12507511,41078564.0,10.1089/whr.2024.0090,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_7e958af5468bc92e,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC12539534,39965252.0,10.14336/AD.2024.1166,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_7e958af5468bc92e,confidently_author only (ambiguous/clearly_not_author excluded),4,True
