keyword_a	keyword_b	weight
Biogas	Sustainability	5
Circular economy	life cycle assessment	5
Food waste	Sustainable development	5
Industrial ecology	Material flow analysis	5
Circular economy (CE)	Life cycle assessment (LCA)	5
Biorefinery	Waste management	5
Sewage sludge	Wastewater	5
E-waste	Environment	5
Sewage sludge	Sustainability	5
Barriers	Industry 4.0	5
Climate change	Waste management	5
Additive manufacturing	Industry 4.0	5
Municipal solid waste	Pyrolysis	5
Waste management	Wastewater treatment	5
Machine learning	Municipal solid waste	5
Machine learning	Recycling	5
Bioenergy	Valorization	5
Business model	Supply chain	5
Pyrolysis	Sewage sludge	5
Barriers	Industrial symbiosis	5
Adsorption	Waste management	5
Circular Economy	SMEs	5
COVID-19	sustainability	5
Bioeconomy	Innovation	5
Circularity	Life cycle assessment	5
Bioeconomy	circular economy	5
Environment	Waste	5
LCA	recycling	5
Recovery	Sustainability	5
Biomass	Wastewater	5
Bioeconomy	Sustainable development	5
Biorefinery	Pyrolysis	5
Recycling	circular economy	5
Climate change	Recycling	5
Additive manufacturing	Life cycle assessment	5
life cycle assessment	waste management	5
Packaging	Reuse	5
Packaging	Waste management	5
Circular Economy	Waste management	5
Energy	Waste management	5
SMEs	sustainability	5
Waste	recycling	5
LCA	Sustainable development	5
China	Resource efficiency	5
Literature review	Sustainable development	5
adsorption	wastewater	5
anaerobic digestion	waste management	5
Municipal solid waste	Sustainability	5
Climate change	Resource recovery	5
Bioenergy	Waste valorization	5
Circular Economy	Pyrolysis	5
biomass	waste	5
biogas	waste management	5
climate change	waste management	5
reuse	waste management	5
Digitalization	Resource recovery	5
Carbon footprint	Environmental impact	4
Energy	Recovery	4
Adsorption	Recovery	4
Indicators	Sustainable development	4
Industry 4.0	Waste management	4
Biochar	Waste	4
Reuse	circular economy	4
Supply chain management	Systematic literature review	4
Sustainable development	circular economy	4
Climate change	Environmental sustainability	4
Environmental sustainability	Life cycle assessment (LCA)	4
Biochar	Bioenergy	4
Optimization	Supply chain	4
Climate change	Waste	4
LCA	Packaging	4
Climate change	Microalgae	4
Energy recovery	Municipal solid waste	4
Valorization	Waste	4
Innovation	Sustainable development	4
Energy	Industrial symbiosis	4
Carbon footprint	Waste management	4
Recycling	Sewage sludge	4
Circularity	Waste	4
Biogas	LCA	4
Recycling	Valorization	4
Reuse	Wastewater	4
Biorefinery	Circular Economy	4
Industry 4.0	Systematic literature review	4
Life cycle assessment	WEEE	4
Circular business models	Sustainable development	4
Energy recovery	Material flow analysis	4
Material flow analysis	Sustainability	4
Biogas	Energy recovery	4
Bioenergy	Municipal solid waste	4
Circularity	Waste management	4
Sewage sludge	Waste management	4
Environmental impact	Food waste	4
Sustainable consumption	Waste management	4
Circularity	Literature review	4
Industrial ecology	Sustainable development	4
Sewage sludge	Wastewater treatment	4
Anaerobic digestion	Wastewater treatment	4
Adsorption	Sustainability	4
Carbon footprint	LCA	4
Business model	Recycling	4
Biochar	Wastewater	4
Recovery	Waste management	4
Bioenergy	Wastewater	4
Biogas	Energy	4
Reverse logistics	Waste management	4
Barriers	Circular business models	4
COVID-19	Circular Economy	4
Optimization	Recycling	4
Anaerobic digestion	Environmental sustainability	4
Circularity	LCA	4
Bioeconomy	Indicators	4
Adsorption	Waste valorization	4
Circular Economy	Packaging	4
COVID-19	Climate change	4
Sustainable development	Valorization	4
Biomass	Climate change	4
Adsorption	Biomass	4
Remanufacturing	Supply chain management	4
Material flow analysis	Reuse	4
Biodiesel	Biogas	4
Innovation	Recycling	4
recycling	waste valorization	4
Biomass	Waste	4
Circular Economy	recycling	4
Supply chain	Sustainable development	4
Anaerobic digestion	LCA	4
Closed-loop supply chain	Literature review	4
Food waste	Waste valorization	4
China	Waste management	4
Bioeconomy	Biogas	4
Remanufacturing	Resource efficiency	4
Energy recovery	Recycling	4
Circular Economy	E-waste	4
Reverse logistics	Supply chain management	4
Wastewater	circular economy	4
Industrial symbiosis	Industry 4.0	4
Adsorption	Reuse	4
Biomass	Recycling	4
Energy recovery	Nutrient recovery	4
Environmental sustainability	Renewable energy	4
Circular Economy	Optimization	4
Life cycle assessment	Packaging	4
Waste management	circular economy	4
Resource efficiency	Sustainable consumption	4
Biomass	Waste-to-energy	4
Energy recovery	Life cycle assessment	4
LCA	Resource recovery	4
Machine learning	Waste management	4
bioeconomy	waste management	4
Climate change	Innovation	4
reuse	wastewater	4
Environmental sustainability	Resource efficiency	4
Mechanical properties	Waste management	4
Circularity	Reuse	4
anaerobic digestion	life cycle assessment	4
Closed-loop supply chain	Waste management	4
LCA	Pyrolysis	4
biomass	renewable energy	4
Microalgae	Nutrient recovery	4
Biomass	Wastewater treatment	4
Barriers	SMEs	4
Biorefinery	Wastewater treatment	4
bioeconomy	climate change	4
Biomass	Circular Economy	4
Bibliometric analysis	Food waste	4
Biodiesel	Sustainability	4
circularity	waste management	4
Energy	Valorization	4
Circular Economy	Digitalization	4
food waste	waste management	4
Circular economy	food waste	4
Biodiesel	Waste-to-energy	4
climate change	life cycle assessment	4
Food waste	Systematic literature review	3
Life cycle assessment	Supply chain	3
Recovery	Wastewater	3
Biochar	Biodiesel	3
Recycling	Supply chain management	3
European Union	Recycling	3
biogas	renewable energy	3
Closed-loop supply chain	Systematic literature review	3
Barriers	Recycling	3
Circular business models	Industry 4.0	3
Industrial symbiosis	Resource recovery	3
Carbon footprint	Sustainable development	3
Bioenergy	Microalgae	3
Innovation	Resource efficiency	3
Resource efficiency	WEEE	3
Waste	Wastewater	3
Industrial symbiosis	Life cycle assessment (LCA)	3
Environmental impact	Pyrolysis	3
Biogas	Municipal solid waste	3
Bibliometric analysis	Sustainable development goals	3
Food waste	Renewable energy	3
Bioeconomy	Pyrolysis	3
Bioenergy	Waste management	3
Biomass	Energy recovery	3
Optimization	Waste valorization	3
Biomass	circular economy	3
biogas	sustainability	3
Recycling	Waste valorization	3
biomass	wastewater	3
Food waste	Waste-to-energy	3
Food waste	Sustainable consumption	3
Energy recovery	Waste-to-energy	3
Material flow analysis	Municipal solid waste	3
Environmental sustainability	Waste valorization	3
Circular business models	Life cycle assessment	3
Bibliometric analysis	Circular Economy	3
Circular Economy	Sustainable development goals	3
Biorefinery	Recycling	3
Systematic literature review	Waste management	3
Biorefinery	Resource recovery	3
Waste management	Wastewater	3
Business model	Systematic literature review	3
Environmental impact	Packaging	3
Bioeconomy	Life cycle assessment (LCA)	3
Resource recovery	Waste	3
Plastic waste	circular economy	3
Bioeconomy	Recycling	3
Industry 4.0	Reverse logistics	3
Renewable energy	Waste-to-energy	3
Environmental sustainability	Recycling	3
Circular economy	circularity	3
Biomass	Sustainable development goals	3
Reverse logistics	Supply chain	3
Bioeconomy	LCA	3
Circular Economy	LCA	3
Circular Economy	Life cycle assessment	3
Anaerobic digestion	Energy	3
Climate change	Material flow analysis	3
Material flow analysis	WEEE	3
Biogas	Optimization	3
Industrial symbiosis	Optimization	3
Industrial symbiosis	Life cycle assessment	3
Bioeconomy	Renewable energy	3
Anaerobic digestion	Recycling	3
Biochar	Recycling	3
European Union	Waste	3
SMEs	sustainable development	3
Industrial symbiosis	Waste valorization	3
European Union	recycling	3
E-waste	Material flow analysis	3
Circular economy (CE)	sustainability	3
life cycle assessment	reuse	3
Industrial symbiosis	Literature review	3
Anaerobic digestion	Climate change	3
European Union	sustainability	3
Energy recovery	Wastewater treatment	3
Industrial symbiosis	SMEs	3
Material flow analysis	Resource efficiency	3
Life cycle assessment	Machine learning	3
Machine learning	Optimization	3
Literature review	Reverse logistics	3
Environment	European Union	3
Environment	Sustainable development goals	3
Energy recovery	Food waste	3
Innovation	SMEs	3
Biodiesel	Recycling	3
China	Construction and demolition waste	3
Recycling	Systematic literature review	3
Industry 4.0	Machine learning	3
3D printing	Life cycle assessment	3
Biomass	Energy	3
Biorefinery	Energy	3
Pyrolysis	Sustainable development	3
Renewable energy	Sustainable development goals	3
Bioeconomy	Climate change	3
Biomass	Sustainable development	3
Environment	Plastic waste	3
Bioeconomy	Microalgae	3
Sustainable development	Waste valorization	3
European Union	Sustainable development	3
Recovery	Valorization	3
Circular Economy	Resource efficiency	3
Biochar	Food waste	3
Literature review	Supply chain management	3
bioeconomy	recycling	3
Business model	Sustainable development	3
Industrial symbiosis	Innovation	3
Bioeconomy	Waste	3
Supply chain management	Waste management	3
Material flow analysis	Sustainable development	3
Climate change	LCA	3
Adsorption	Nutrient recovery	3
Nutrient recovery	Waste management	3
Life cycle assessment	Nutrient recovery	3
Supply chain	Waste	3
Circular economy (CE)	Industry 4.0	3
Environmental impact	Life cycle assessment (LCA)	3
Waste	Waste-to-energy	3
Indicators	Waste management	3
Business model	Industry 4.0	3
E-waste	Reverse logistics	3
Reverse logistics	WEEE	3
Business model	Reuse	3
climate change	waste	3
Business model	Digitalization	3
Environmental sustainability	Food waste	3
China	Material flow analysis	3
Biogas	Waste-to-energy	3
Municipal solid waste	circular economy	3
Food waste	Recycling	3
Municipal solid waste	Renewable energy	3
WEEE	Waste management	3
Construction and demolition waste	Literature review	3
Construction and demolition waste	Sustainable development	3
Literature review	Waste management	3
Material flow analysis	Resource recovery	3
Biodiesel	Pyrolysis	3
Recycling	Sustainable consumption	3
Food waste	Literature review	3
industrial ecology	waste	3
China	Sustainable development	3
European Union	bioeconomy	3
Sustainable development	Wastewater treatment	3
Climate change	Digitalization	3
Climate change	Nutrient recovery	3
Circular economy (CE)	Sustainable development	3
anaerobic digestion	renewable energy	3
Agriculture	Waste	3
China	Municipal solid waste	3
Barriers	Environmental sustainability	3
Life cycle assessment (LCA)	Reuse	3
mechanical properties	waste	3
Bibliometric analysis	circular economy	3
Biochar	Valorization	3
Biomass	Valorization	3
Bioenergy	Nutrient recovery	3
circularity	recycling	3
waste management	waste valorization	3
Plastic waste	Valorization	3
Biochar	Circular Economy	3
LCA	biogas	3
Circular business models	Renewable energy	3
Biorefinery	Renewable energy	3
Resource recovery	Reverse logistics	3
Biochar	Waste valorization	3
anaerobic digestion	sustainability	3
Indicators	Life cycle assessment	3
Microalgae	Valorization	3
Environmental sustainability	LCA	3
Digitalization	Waste management	3
Biochar	Nutrient recovery	3
Biorefinery	Sustainable development	3
bioeconomy	industrial ecology	3
recycling	renewable energy	3
Biodiesel	Renewable energy	3
Microalgae	Renewable energy	3
Carbon footprint	Climate change	3
Adsorption	Plastic waste	3
COVID-19	Digitalization	3
waste management	wastewater	3
Food waste	Industrial symbiosis	3
Biochar	Wastewater treatment	3
WEEE	sustainability	3
Biogas	Circular Economy	3
Literature review	Supply chain	3
reuse	waste	3
circularity	sustainable development	3
Circular economy (CE)	Recycling	3
Agriculture	Microalgae	3
Bibliometric analysis	Supply chain	3
Remanufacturing	Waste management	3
Closed-loop supply chain	Industry 4.0	3
Municipal solid waste	Sustainable development goals	3
Biodiesel	Wastewater treatment	3
Wastewater	Wastewater treatment	3
food waste	life cycle assessment	3
Circular Economy	Climate change	3
COVID-19	Supply chain management	3
COVID-19	Pyrolysis	3
Energy	Pyrolysis	2
Material flow analysis	Plastic waste	2
Bibliometric analysis	Resource recovery	2
Circular economy (CE)	Indicators	2
China	Renewable energy	2
Business model	Innovation	2
Packaging	Reverse logistics	2
COVID-19	Recycling	2
Climate change	Life cycle assessment (LCA)	2
Packaging	Plastic waste	2
Bioenergy	Systematic literature review	2
China	Industrial ecology	2
Food waste	Packaging	2
Climate change	Environmental impact	2
Barriers	Circularity	2
Bibliometric analysis	Municipal solid waste	2
Bibliometric analysis	Waste-to-energy	2
Environmental impact	Environmental sustainability	2
China	Industrial symbiosis	2
Construction and demolition waste	Environmental impact	2
Climate change	Wastewater	2
Energy recovery	Environmental sustainability	2
Industrial symbiosis	Wastewater	2
Bioeconomy	Sustainable consumption	2
COVID-19	Food waste	2
Food waste	Plastic waste	2
Bioenergy	Waste	2
Innovation	Reverse logistics	2
Machine learning	Supply chain	2
Life cycle assessment	Sustainable development goals	2
anaerobic digestion	waste valorization	2
Circularity	E-waste	2
Energy recovery	Renewable energy	2
Resource recovery	Valorization	2
Digitalization	Life cycle assessment	2
Plastic waste	Recovery	2
Plastic waste	Waste valorization	2
Recovery	Waste valorization	2
Bibliometric analysis	Environmental sustainability	2
Circular Economy	industrial ecology	2
Renewable energy	Resource efficiency	2
E-waste	waste management	2
WEEE	waste management	2
Agriculture	Barriers	2
Circular Economy	Systematic literature review	2
Environment	Valorization	2
Carbon footprint	Reuse	2
Circular economy	climate change	2
Material flow analysis	Waste-to-energy	2
Biogas	Sustainable development	2
Circularity	Material flow analysis	2
Biochar	Biogas	2
Municipal solid waste	Resource recovery	2
Biochar	Resource recovery	2
Renewable energy	Waste	2
Life cycle assessment	Microalgae	2
Sustainable development	Wastewater	2
bioeconomy	waste valorization	2
Circular economy (CE)	Remanufacturing	2
Barriers	Innovation	2
Anaerobic digestion	Environmental impact	2
Biomass	Municipal solid waste	2
Bibliometric analysis	Circularity	2
Biogas	Waste valorization	2
Renewable energy	Sewage sludge	2
Renewable energy	Waste valorization	2
Sewage sludge	Waste valorization	2
Bioeconomy	Energy	2
Reuse	Reverse logistics	2
Climate change	WEEE	2
Biodiesel	Life cycle assessment	2
Digitalization	Resource efficiency	2
Resource efficiency	Supply chain	2
Food waste	Innovation	2
Environmental sustainability	Machine learning	2
Environmental sustainability	Municipal solid waste	2
Industrial symbiosis	Systematic literature review	2
Optimization	Renewable energy	2
Biodiesel	Bioenergy	2
Biodiesel	Valorization	2
European Union	SMEs	2
Environmental impact	Renewable energy	2
Anaerobic digestion	Sustainable development	2
LCA	Reuse	2
LCA	WEEE	2
Anaerobic digestion	Waste	2
Biogas	Industrial symbiosis	2
Biogas	Waste	2
Biogas	Resource recovery	2
Bioeconomy	COVID-19	2
Resource recovery	Waste valorization	2
Industrial ecology	Literature review	2
Business model	Renewable energy	2
Anaerobic digestion	Reuse	2
Environmental sustainability	Recovery	2
Biochar	Biorefinery	2
Pyrolysis	WEEE	2
life cycle assessment	sustainable development	2
climate change	renewable energy	2
Industrial symbiosis	Recovery	2
