	Circular economy	circular economy	Sustainability	Recycling	sustainability	Waste management	Life cycle assessment	recycling	Circular Economy	Sustainable development	waste management	Industry 4.0	sustainable development	Resource recovery	Anaerobic digestion	Food waste	Biorefinery	Waste	Bioeconomy	LCA	Reuse	Pyrolysis	Biomass	industrial ecology	Biochar	Wastewater treatment	Adsorption	Biogas	Wastewater	Industrial symbiosis	Renewable energy	Plastic waste	life cycle assessment	Resource efficiency	Climate change	Waste valorization	Remanufacturing	Microalgae	waste	China	Bioenergy	Environmental sustainability	Circularity	Barriers	Municipal solid waste	Valorization	Material flow analysis	Environmental impact	Circular economy (CE)	Sustainable development goals	COVID-19	Environment	Innovation	E-waste	reuse	Supply chain	Sewage sludge	climate change	3D printing	biomass	Machine learning	Bibliometric analysis	Nutrient recovery	Industrial ecology	Waste-to-energy	food waste	Reverse logistics	Literature review	Mechanical properties	European Union	Biodiesel	Systematic literature review	anaerobic digestion	Recovery	Carbon footprint	WEEE	renewable energy	Circular business models	bioeconomy	SMEs	Additive manufacturing	Optimization	Construction and demolition waste	Life cycle assessment (LCA)	Digitalization	Agriculture	waste valorization	Energy	Supply chain management	Business model	Energy recovery	circularity	Closed-loop supply chain	Packaging	adsorption	wastewater	mechanical properties	Indicators	biogas	Sustainable consumption
Pyrolysis	84	0	6	11	0	10	8	0	5	3	0	0	0	2	12	2	5	1	3	4	0	0	8	0	29	5	5	1	0	1	1	16	0	0	0	8	0	1	0	0	0	1	1	0	5	1	0	3	0	1	3	1	0	1	0	0	5	0	0	1	1	0	2	1	8	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	2	0	1	0	1	0	2	0	0	5	0	1	0	0	0	0	0	0	0
Biomass	88	3	13	4	1	5	6	0	4	3	0	0	0	1	8	2	18	4	15	0	1	8	0	0	8	4	4	8	5	1	6	1	0	0	4	2	0	6	0	1	16	1	1	0	2	3	1	1	0	3	0	1	1	1	0	0	1	0	1	0	0	0	0	0	4	1	0	0	1	2	0	0	0	2	2	0	0	0	0	0	1	1	0	0	0	1	0	3	1	0	3	0	0	1	0	0	0	1	0	0
industrial ecology	0	155	0	0	14	0	0	25	2	0	9	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
Biochar	75	0	8	3	1	2	2	0	3	2	1	0	0	2	14	3	2	4	1	1	1	29	8	0	0	3	21	2	4	0	0	0	0	0	1	3	0	1	0	0	4	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	6	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Wastewater treatment	92	0	9	1	0	5	5	0	0	3	0	1	0	26	4	0	4	1	1	0	2	5	4	0	3	0	11	2	3	0	1	0	0	0	1	1	0	19	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	4	0	0	0	1	0	7	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	1	0	0
Adsorption	63	1	4	1	0	5	1	0	0	0	0	0	0	8	0	0	1	2	0	0	4	5	4	0	21	11	0	2	8	0	0	3	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	1	0	1	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biogas	88	1	5	1	0	9	8	0	3	2	1	0	1	2	42	6	7	2	4	4	1	1	8	0	2	2	2	0	5	2	16	0	0	0	1	2	0	2	0	1	10	0	0	1	3	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	3	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	3	0	0	0	2	0	4	1	1	4	0	0	0	0	0	0	1	0	0
Wastewater	74	4	9	5	0	3	2	0	2	2	0	0	0	16	6	0	5	3	1	2	4	0	5	0	4	3	8	5	0	2	1	2	0	0	2	1	0	20	0	0	4	0	0	1	1	7	2	0	5	1	1	2	0	0	0	0	5	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	7	0	8	0	0	1	0	0	0	0	0	0	1	0	0
Industrial symbiosis	127	1	20	7	0	11	3	0	0	7	0	4	0	3	1	3	0	5	0	1	2	1	1	0	0	0	0	2	2	0	1	0	0	5	0	3	1	0	0	2	1	1	1	5	0	0	0	1	1	0	1	0	3	0	0	1	0	0	1	0	0	1	0	15	0	0	0	3	0	1	0	2	0	2	0	0	0	1	0	3	2	3	0	3	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0
Renewable energy	95	0	12	9	0	8	5	0	1	17	0	1	0	2	9	3	3	2	3	1	1	1	6	0	0	1	0	16	1	1	0	0	0	2	9	2	0	3	0	2	7	4	0	0	3	0	1	2	2	3	0	0	0	0	0	0	2	0	0	0	0	1	0	2	3	0	0	2	0	0	3	1	0	0	0	0	0	3	0	0	0	2	0	2	0	1	0	2	0	2	2	0	0	0	0	0	0	1	0	0
Plastic waste	94	3	11	26	0	16	8	1	0	1	1	0	0	1	0	2	1	0	0	2	1	16	1	0	0	0	3	0	2	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	1	3	2	1	0	0	7	3	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	1	0	0	1	0	0
life cycle assessment	5	104	0	0	16	0	0	21	0	0	5	0	2	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	0	0	0	0	0	3	0	0	0	1	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
Resource efficiency	127	0	27	12	0	15	11	0	3	11	0	1	0	0	1	2	0	1	0	1	8	0	0	0	0	0	0	0	0	5	2	1	0	0	1	2	4	0	0	5	0	4	1	1	0	0	3	2	2	1	0	1	3	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	3	0	2	0	0	1	1	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	4
Climate change	97	1	30	5	0	5	13	0	3	12	0	1	0	5	3	0	0	4	3	3	2	0	4	0	1	1	0	1	2	0	9	1	0	1	0	0	1	4	0	7	1	4	0	1	1	0	3	2	0	5	4	6	4	0	0	0	0	0	1	0	1	0	3	0	0	0	1	0	0	2	0	1	0	0	3	2	0	0	0	0	0	0	0	2	3	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0
Waste valorization	76	0	8	3	0	6	13	0	1	3	0	0	0	2	5	4	6	0	0	1	1	8	2	0	3	1	4	2	1	3	2	2	0	2	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	1	2	0	1	0	0	2	0	1	0	1	0	2	0	6	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Remanufacturing	104	1	14	15	1	3	5	0	1	2	0	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1	0	1	0	1	0	0	0	0	2	0	0	1	0	0	8	2	0	0	0	2	0	0	0	0	0	1	0	0	6	1	0	0	1	0	0	0	4	0	0	0	10	0	0	0	0	0	0	5
Microalgae	49	2	6	0	0	1	2	0	2	1	0	0	0	6	7	1	9	0	3	0	0	1	6	0	1	19	1	2	20	0	3	0	0	0	4	0	0	0	0	0	3	0	1	0	0	3	0	1	0	2	0	1	1	0	0	0	1	0	0	0	2	1	4	0	0	0	0	0	0	0	8	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0
waste	7	77	0	0	18	0	0	20	2	0	2	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	2	5	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	3	0	1	0
China	56	16	7	6	2	4	1	1	7	3	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	1	0	2	2	1	0	5	7	0	1	0	0	0	1	1	0	1	3	0	3	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	6	0	0	0	0	2	0	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bioenergy	70	0	12	0	0	3	9	0	2	2	0	0	0	5	18	2	15	2	10	2	0	0	16	0	4	0	0	10	4	1	7	0	0	0	1	5	0	3	0	1	0	0	2	0	4	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental sustainability	79	1	1	3	0	7	13	0	0	7	0	2	0	2	4	3	1	0	0	3	1	1	1	0	1	0	0	0	0	1	4	0	0	4	4	3	0	0	0	1	0	0	2	3	2	1	0	2	2	1	1	1	0	0	0	1	0	0	1	0	2	2	1	0	1	0	1	2	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	4	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0
Circularity	62	0	26	6	1	4	5	0	7	0	0	1	0	1	0	0	0	4	6	4	4	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	2	2	0	2	0	0	2	0	1	0	1	1	5	2	1	2	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	2	0	1	1	1	0	0	0	1	0	0	0	5	0	2
Barriers	93	1	20	3	0	6	0	0	9	11	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	0	1	0	1	1	0	0	0	0	1	0	3	2	0	0	0	0	0	7	1	1	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	6	0	0	0	0	0	4	0	4	0	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	0	1	0	1
Municipal solid waste	59	3	5	16	0	27	10	0	2	2	0	0	0	2	6	1	2	0	0	1	1	5	2	0	0	0	0	3	1	0	3	1	0	0	1	0	0	0	0	3	4	2	0	0	0	2	3	0	0	3	2	1	0	1	0	0	0	0	0	0	5	2	0	0	6	0	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	1	0	0
Valorization	61	0	10	4	0	7	0	0	1	4	0	0	0	2	2	2	6	4	1	0	1	1	3	0	3	1	2	0	7	0	0	3	0	0	0	0	0	3	0	0	5	1	0	0	2	0	0	0	0	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0
Material flow analysis	91	1	4	18	0	15	19	0	0	3	1	0	0	3	0	1	0	0	0	2	4	0	1	0	0	0	0	0	2	0	1	2	0	3	3	0	1	0	0	3	0	0	2	0	3	0	0	1	0	1	0	0	0	3	0	2	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	0
Environmental impact	65	0	13	11	0	2	30	0	2	6	0	0	0	0	2	4	0	1	0	2	7	3	1	0	0	1	0	1	0	1	2	1	0	2	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	4	1	0	1	0	0	1	0	2	3	1	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1
Circular economy (CE)	0	0	12	3	3	8	0	0	0	3	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	5	1	2	0	0	2	0	0	2	0	0	1	0	2	1	7	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0
Sustainable development goals	75	0	18	0	0	7	2	0	3	2	0	7	0	0	1	2	2	0	6	0	1	1	3	0	1	0	1	0	1	0	3	0	0	1	5	1	0	2	0	0	1	1	0	1	3	1	1	1	0	0	1	3	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2
COVID-19	56	13	22	2	5	10	1	0	4	5	2	6	2	2	0	2	0	1	2	1	1	3	0	0	0	0	0	0	1	1	0	7	0	0	4	1	0	0	1	0	0	1	1	1	2	0	0	1	1	1	0	0	1	0	0	7	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0
Environment	56	1	30	8	0	7	1	1	8	7	0	0	0	2	1	0	0	5	0	1	2	1	1	0	1	1	1	1	2	0	0	3	0	1	6	2	1	1	0	1	0	1	1	0	1	2	0	0	0	3	0	0	2	5	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	3	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	6	1	0	0	0	0	0	0	0	0	1	0	1
Innovation	69	2	41	4	0	2	0	0	10	4	0	6	0	0	0	2	1	0	5	0	0	0	1	0	0	1	0	0	0	3	0	0	0	3	4	0	0	1	0	1	0	0	5	2	0	0	0	0	1	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	0	3	0	1	0	0	2	1	0	2	1	2	0	0	1	2	0	0	0	2	0	0
E-waste	49	6	11	29	2	6	1	1	4	2	2	0	0	1	0	1	0	2	0	1	2	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	1	1	0	3	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	2	0	10	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1
reuse	6	78	1	1	15	0	0	23	0	0	5	1	1	0	0	0	0	0	0	2	0	0	0	6	0	0	1	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	0	0	1	0
Supply chain	76	0	21	6	0	7	3	0	0	4	0	7	0	0	0	7	0	3	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	1	0	0	0	1	1	2	2	0	1	2	1	0	0	7	1	1	0	0	0	0	0	0	0	2	3	0	0	2	0	3	3	0	0	0	2	0	0	1	0	0	1	0	0	0	4	1	0	1	1	0	0	0	5	1	0	1	1	0	0	0	0	0	0
Sewage sludge	50	1	5	4	0	4	1	0	0	0	0	0	0	6	9	1	1	1	1	2	0	5	1	0	6	4	1	1	5	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0
climate change	2	66	0	0	12	0	0	2	0	0	5	0	7	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3D printing	32	25	6	16	12	0	3	9	2	1	0	9	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	23	0	1	0	0	1	2	0	1	2	0	0	0	1	0	0	1	0	0	0
biomass	2	44	0	0	13	0	0	2	0	0	9	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	3	0	0	2	0
Machine learning	42	1	8	5	0	4	3	0	1	1	0	3	0	1	1	0	1	0	2	0	1	1	0	0	0	1	2	1	0	0	0	2	0	0	1	1	2	2	0	0	0	2	0	0	5	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
