keyword_a	keyword_b	weight
Biorefinery	Lignocellulosic biomass	20
Renewable energy	Waste management	20
Nutrient recovery	Wastewater treatment	19
Lignocellulosic biomass	Sustainability	19
Anaerobic digestion	Biochar	19
Business model	Innovation	19
Optimization	Sustainability	19
Environmental sustainability	Material flow analysis	19
Agriculture	Waste management	19
Environmental sustainability	Food waste	19
Life cycle assessment	Wastewater	19
Environmental sustainability	Municipal solid waste	19
Sustainability	Techno-economic analysis	19
China	Sustainability	19
Industry 4.0	Supply chain	19
Environmental sustainability	Remanufacturing	19
End-of-life	Waste management	18
Nutrient recovery	Resource recovery	18
Construction	Construction and demolition waste	18
Anaerobic digestion	Resource recovery	18
Construction	Reuse	18
Anaerobic digestion	Sewage sludge	18
Recycling	Renewable energy	18
Hydrogen	Sustainability	18
Sustainability	antioxidants	18
Pyrolysis	Waste management	18
Life cycle assessment	Waste valorization	18
Business model	Environmental sustainability	18
Pyrolysis	Recycling	18
Microalgae	Sustainability	18
Environmental sustainability	Innovation	18
Bioenergy	Life cycle assessment	17
Bioeconomy	Bioplastics	17
Material flow analysis	Plastic waste	17
Adsorption	Wastewater	17
Anaerobic digestion	Renewable energy	17
Agriculture	Bioeconomy	17
Composting	Life cycle assessment	17
Bioplastics	Life cycle assessment	17
Sustainability	WEEE	17
Recycling	Upcycling	17
Chemical recycling	Life cycle assessment	17
Closed-loop supply chain	Reverse logistics	17
Bioenergy	Biorefinery	17
Circular business models	Product-service system	17
Biogas	Biorefinery	17
Reuse	Waste	17
Anaerobic digestion	Biorefinery	16
Sustainable development goals	Waste management	16
Carbon footprint	Environmental sustainability	16
European Union	Recycling	16
Construction	Material flow analysis	16
Bioeconomy	Waste management	16
Biowaste	Sustainability	16
Construction	Environmental sustainability	16
Business model	Recycling	16
Biochar	Biomass	16
Biomass	Renewable energy	16
Food supply chain	Food waste	16
Biogas	Waste management	16
Bibliometric analysis	Environmental sustainability	16
Biodegradable	Recycling	16
Life cycle assessment	Waste	16
Sewage sludge	Sustainability	16
Business model	Product-service system	16
Climate change	Greenhouse gas emissions	16
Material flow analysis	Reuse	15
Barriers	Circular supply chain	15
Biorefinery	Techno-economic analysis	15
Biofuels	Renewable energy	15
Packaging	Plastic waste	15
Bioeconomy	Bioenergy	15
Anaerobic digestion	Municipal solid waste	15
Renewable energy	Waste-to-energy	15
Agriculture	Wastewater	15
Anaerobic digestion	Environmental sustainability	15
Bibliometric analysis	Systematic literature review	15
Composting	Mechanical properties	15
Bibliometric analysis	Literature review	15
Bioeconomy	Business model	15
Sewage sludge	Wastewater treatment	15
antioxidants	polyphenols	15
Anaerobic digestion	Biofuels	14
Biomass	CO<sub>2</sub> emissions	14
Material flow analysis	Resource recovery	14
Industrial symbiosis	Waste management	14
Nutrient recovery	Sewage sludge	14
Biogas	Food waste	14
Environmental sustainability	Industry 4.0	14
Eco-design	Recycling	14
Life cycle assessment	Packaging	14
Industrial symbiosis	Life cycle assessment	14
Life cycle assessment	Renewable energy	14
Life cycle assessment	Remanufacturing	14
Bioenergy	Biogas	14
Biomass	Waste management	14
Bioeconomy	Food waste	14
Resource recovery	Waste	14
Biorefinery	Food waste	14
Industry 4.0	Sustainable development goals	14
Material flow analysis	Resource efficiency	14
Bioplastics	Plastic waste	14
Bioplastics	Waste management	13
Climate change	Renewable energy	13
Critical raw materials	WEEE	13
Composting	Food waste	13
Composting	Municipal solid waste	13
Bioenergy	Biofuels	13
Anaerobic digestion	Pyrolysis	13
Biomass	Life cycle assessment	13
Eco-design	Environmental sustainability	13
Biomass	Waste	13
Pyrolysis	Waste-to-energy	13
Business model	Supply chain	13
Recycling	Waste-to-energy	13
Carbon footprint	Recycling	13
Industrial symbiosis	Recycling	13
Biomass	Waste-to-energy	13
Agriculture	Nutrient recovery	13
COVID-19	Waste management	13
Biomass	Pyrolysis	13
Biomass	Wastewater	13
Reuse	WEEE	13
Biodegradable	Bioplastics	13
Machine learning	Recycling	13
Life cycle assessment	Literature review	13
Bioenergy	Renewable energy	13
Decision-making	Waste management	13
Resource efficiency	Reuse	13
Agriculture	Anaerobic digestion	13
Textile waste	Waste management	13
Biomass	Recycling	13
Energy	Wastewater	12
Anaerobic digestion	Microalgae	12
Resource efficiency	industrial ecology	12
Anaerobic digestion	Biomass	12
Recycling	by-products	12
Recycling	Reverse logistics	12
E-waste	Waste management	12
Circular supply chain	Closed-loop supply chain	12
Energy	Environmental sustainability	12
Life cycle assessment	Optimization	12
Climate change	Sustainable development goals	12
Policy	Recycling	12
Bibliometric analysis	Waste management	12
Circular supply chain	Industry 4.0	12
Biorefinery	Microalgae	12
Life cycle assessment	WEEE	12
Environmental sustainability	Waste valorization	12
Waste	Waste management	12
Biofuels	Microalgae	12
Sewage sludge	Wastewater	12
Bioeconomy	Innovation	12
Biodegradable	Plastic waste	12
Environmental sustainability	Wastewater treatment	12
CO<sub>2</sub> emissions	Life cycle assessment	12
Reverse logistics	Waste management	12
Recovery	Reuse	12
Greenhouse gas emissions	Recycling	12
Biorefinery	Waste	12
Plastic waste	industrial ecology	12
Environmental sustainability	Systematic literature review	12
Climate change	Recycling	12
Agriculture	Biomass	12
Packaging	Reuse	12
Environmental sustainability	Waste-to-energy	12
Wastewater	Wastewater treatment	11
Plastic waste	Upcycling	11
Valorization	by-products	11
by-products	polyphenols	11
COVID-19	Environmental sustainability	11
Closed-loop supply chain	Supply chain management	11
Biofuels	Lignocellulosic biomass	11
Biowaste	Life cycle assessment	11
Recycling	Supply chain	11
Reverse logistics	WEEE	11
Anaerobic digestion	Biowaste	11
Energy	Waste	11
Heavy metals	Wastewater treatment	11
COVID-19	Plastic waste	11
Biofuels	Waste-to-energy	11
Decision-making	Remanufacturing	11
Business model	Case study	11
Biomass	Environmental sustainability	11
Plastic waste	polyphenols	11
Adsorption	Biomass	11
E-waste	Environmental sustainability	11
Construction	Waste	11
Life cycle assessment	Product-service system	11
Anaerobic digestion	Bioeconomy	11
Remanufacturing	Reverse logistics	11
Climate change	Resource recovery	11
Circular supply chain	Systematic literature review	11
Biodegradable	Composting	11
Circular business models	Remanufacturing	11
Microalgae	Nutrient recovery	11
Recovery	Sustainability	11
Business model	Remanufacturing	11
Industry 4.0	Supply chain management	11
Biogas	Waste-to-energy	11
Business model	Digitalization	11
Machine learning	Waste management	11
Biomass	Plastic waste	11
Construction and demolition waste	Reuse	11
Recycling	polyphenols	11
antioxidants	by-products	11
Heavy metals	Wastewater	10
Agriculture	Life cycle assessment	10
Business model	Industry 4.0	10
COVID-19	Supply chain	10
Biodegradable	Biopolymers	10
Agriculture	Composting	10
Composting	Environmental sustainability	10
Biomass	Microalgae	10
Bibliometric analysis	Industry 4.0	10
Biochar	Life cycle assessment	10
CO<sub>2</sub> emissions	Waste-to-energy	10
Bioeconomy	Environmental sustainability	10
Biowaste	Food waste	10
Environmental sustainability	Greenhouse gas emissions	10
CO<sub>2</sub> emissions	Climate change	10
Environmental sustainability	Pyrolysis	10
Life cycle assessment	Sustainable development goals	10
Bioplastics	Recycling	10
Greenhouse gas emissions	Waste management	10
Biogas	Biomass	10
Recycling	Waste valorization	10
WEEE	Waste management	10
European Union	Waste management	10
Reuse	industrial ecology	10
Biochar	Environmental sustainability	10
Plastic waste	Techno-economic analysis	10
Energy	Material flow analysis	10
Industry 4.0	Reverse logistics	10
Climate change	Waste management	10
Biochar	Sewage sludge	10
Life cycle assessment	Textile waste	10
Valorization	bioactive compounds	10
Anaerobic digestion	Wastewater treatment	10
Critical raw materials	Material flow analysis	10
Biowaste	Waste management	10
Material flow analysis	WEEE	10
CO<sub>2</sub> emissions	Renewable energy	10
Biogas	Biowaste	10
antioxidants	bioactive compounds	10
CO<sub>2</sub> emissions	Recycling	10
Additive manufacturing	Life cycle assessment	10
Agriculture	Waste	10
Sustainability	polyphenols	10
Environmental sustainability	Food supply chain	10
Product-service system	Resource efficiency	10
Resource recovery	industrial ecology	10
Agriculture	Biochar	10
Barriers	Construction	10
Barriers	Business model	9
Plastic waste	Wastewater	9
Pyrolysis	Wastewater	9
Indicators	Life cycle assessment	9
Biochar	Waste	9
End-of-life	Reuse	9
Biorefinery	Waste valorization	9
Circular business models	Industry 4.0	9
Bioeconomy	Biofuels	9
China	industrial ecology	9
CO<sub>2</sub> emissions	Environmental sustainability	9
Construction and demolition waste	Environmental sustainability	9
Carbon footprint	Plastic waste	9
Municipal solid waste	Sustainable development goals	9
Anaerobic digestion	Wastewater	9
Bibliometric analysis	Sustainable development goals	9
Environmental sustainability	Policy	9
Policy	Waste management	9
Bibliometric analysis	Food waste	9
Biopolymers	Biorefinery	9
Circular business models	Circular supply chain	9
Barriers	Circular business models	9
Bioeconomy	Sustainable development goals	9
Industry 4.0	Systematic literature review	9
Adsorption	Resource recovery	9
Agriculture	Biogas	9
Pyrolysis	Waste valorization	9
Composting	Sewage sludge	9
Plastic waste	Reuse	9
Municipal solid waste	Pyrolysis	9
Resource recovery	Sewage sludge	9
Greenhouse gas emissions	Plastic waste	9
Environmental sustainability	Packaging	9
Biorefinery	Valorization	9
Barriers	Systematic literature review	9
3D printing	Industry 4.0	9
Additive manufacturing	Remanufacturing	9
Municipal solid waste	Wastewater	9
3D printing	Plastic waste	9
Municipal solid waste	Renewable energy	9
Business model	Resource efficiency	9
Waste management	Waste valorization	9
Optimization	Recycling	9
Supply chain	Waste management	9
Circular business models	SMEs	9
Business model	Sustainable development goals	9
Food waste	Valorization	9
Agriculture	Food supply chain	9
Industry 4.0	Innovation	9
Innovation	Recycling	9
Product-service system	Remanufacturing	9
Life cycle assessment	Nutrient recovery	9
Reverse logistics	Supply chain management	9
Greenhouse gas emissions	Renewable energy	9
Waste valorization	Waste-to-energy	9
Valorization	Waste management	9
Energy	Waste management	9
Circular supply chain	Supply chain management	9
Electric vehicles	Life cycle assessment	9
Recycling	Sustainable development goals	9
Composting	Waste	9
Bibliometric analysis	Supply chain management	9
Biofuels	Biogas	9
Business model	SMEs	8
European Union	SMEs	8
Food supply chain	Life cycle assessment	8
Critical raw materials	E-waste	8
Bibliometric analysis	Construction	8
Environmental sustainability	Indicators	8
Supply chain management	Systematic literature review	8
Biomass	Hydrogen	8
Biofuels	Life cycle assessment	8
Environmental sustainability	Lithium-ion batteries	8
Adsorption	Pyrolysis	8
Barriers	Waste management	8
China	European Union	8
Food supply chain	Valorization	8
Biogas	Wastewater	8
Adsorption	Sustainability	8
Heavy metals	Sustainability	8
Life cycle assessment	Upcycling	8
Food waste	Resource recovery	8
Literature review	Recycling	8
Reuse	Wastewater	8
Biochar	Wastewater	8
Case study	Remanufacturing	8
Business model	Circular supply chain	8
Critical raw materials	Lithium-ion batteries	8
Chemical recycling	polyphenols	8
Biochar	Heavy metals	8
Business model	Waste management	8
Circular business models	Life cycle assessment	8
Biomass	Lignocellulosic biomass	8
Construction	Wastewater	8
End-of-life	Remanufacturing	8
Sewage sludge	Waste management	8
Barriers	Industry 4.0	8
End-of-life	Material flow analysis	8
Biochar	Nutrient recovery	8
Bioeconomy	Recycling	8
Biofuels	Wastewater	8
Municipal solid waste	industrial ecology	8
Pyrolysis	Sewage sludge	8
Decision-making	Industry 4.0	8
Bibliometric analysis	Business model	8
Biogas	Energy	8
Bioplastics	Composting	8
Environmental sustainability	Product-service system	8
Business model	Literature review	8
Case study	Recycling	8
Environmental sustainability	Recovery	8
Packaging	Waste management	8
Circular business models	Environmental sustainability	8
Hydrogen	Plastic waste	8
End-of-life	WEEE	8
Critical raw materials	Recovery	8
Agriculture	Renewable energy	8
Nutrient recovery	Waste management	8
Industry 4.0	SMEs	8
Environmental sustainability	Literature review	8
Environmental sustainability	Supply chain	8
Closed-loop supply chain	Literature review	8
End-of-life	Environmental sustainability	8
Construction	industrial ecology	8
Biomass	Energy	8
bioactive compounds	by-products	8
Bioeconomy	Biowaste	8
Biowaste	Composting	8
Environmental sustainability	Nutrient recovery	8
Life cycle assessment	Sewage sludge	8
Bioplastics	Packaging	8
Environmental sustainability	Supply chain management	8
Digitalization	Waste management	8
Chemical recycling	Sustainability	8
Anaerobic digestion	Techno-economic analysis	8
Biofuels	Pyrolysis	8
Barriers	SMEs	7
Reuse	Textile waste	7
Resource recovery	Reuse	7
Composting	Waste valorization	7
Industrial symbiosis	Resource efficiency	7
China	Climate change	7
Environmental sustainability	SMEs	7
Business model	Construction	7
Packaging	Waste	7
Biorefinery	Wastewater	7
Recycling	Techno-economic analysis	7
Anaerobic digestion	Waste valorization	7
Life cycle assessment	by-products	7
Material flow analysis	Packaging	7
Climate change	Waste	7
Industry 4.0	Literature review	7
Circular supply chain	Supply chain	7
Industrial symbiosis	Resource recovery	7
Life cycle assessment	Wastewater treatment	7
Biowaste	Municipal solid waste	7
CO<sub>2</sub> emissions	Wastewater	7
Composting	Nutrient recovery	7
Valorization	Waste	7
Machine learning	Plastic waste	7
Bioplastics	Environmental sustainability	7
Life cycle assessment	Policy	7
Valorization	Wastewater	7
Construction	Resource recovery	7
European Union	Municipal solid waste	7
End-of-life	Lithium-ion batteries	7
Machine learning	Municipal solid waste	7
End-of-life	Pyrolysis	7
Material flow analysis	Municipal solid waste	7
Food supply chain	Industry 4.0	7
Circular business models	industrial ecology	7
Bioenergy	Municipal solid waste	7
Business model	Systematic literature review	7
Decision-making	Recycling	7
Decision-making	Life cycle assessment	7
Environmental sustainability	Techno-economic analysis	7
Product-service system	industrial ecology	7
Circular business models	Literature review	7
Additive manufacturing	Industry 4.0	7
Composting	Pyrolysis	7
Circular business models	Supply chain	7
Reuse	by-products	7
China	Environmental sustainability	7
Construction	Resource efficiency	7
Recovery	Waste	7
Construction	Literature review	7
Reverse logistics	Supply chain	7
Food waste	Supply chain	7
Bioplastics	Biopolymers	7
Recovery	Waste management	7
Barriers	Industrial symbiosis	7
Waste	Waste-to-energy	7
Remanufacturing	Resource efficiency	7
Lithium-ion batteries	Waste management	7
Anaerobic digestion	Greenhouse gas emissions	7
Eco-design	Resource efficiency	7
Sewage sludge	Waste-to-energy	7
Critical raw materials	Resource recovery	7
Bioeconomy	Indicators	7
Bioenergy	Nutrient recovery	7
Agriculture	Bioenergy	7
Digitalization	Innovation	7
Digitalization	Product-service system	7
COVID-19	Climate change	7
Digitalization	Environmental sustainability	7
European Union	Policy	7
Wastewater	industrial ecology	7
Food waste	Recycling	7
Biowaste	Environmental sustainability	7
Bioeconomy	Greenhouse gas emissions	7
China	Recycling	7
Biogas	Wastewater treatment	7
Bioeconomy	Climate change	7
Case study	Industrial symbiosis	7
Bioeconomy	European Union	7
Biorefinery	Renewable energy	7
Bioeconomy	industrial ecology	7
Biorefinery	Biowaste	7
Lithium-ion batteries	Material flow analysis	7
Hydrogen	Life cycle assessment	7
CO<sub>2</sub> emissions	Pyrolysis	7
Environmental sustainability	Textile waste	7
Additive manufacturing	Environmental sustainability	7
Closed-loop supply chain	Waste management	7
Waste-to-energy	Wastewater treatment	7
Biofuels	Valorization	7
Biomass	Wastewater treatment	7
Critical raw materials	Electric vehicles	7
Biochar	Composting	7
Construction	Industry 4.0	6
Material flow analysis	Remanufacturing	6
Bibliometric analysis	Resource recovery	6
Life cycle assessment	Supply chain	6
Recovery	Wastewater	6
Industry 4.0	Waste management	6
COVID-19	Industry 4.0	6
Microalgae	Resource recovery	6
Biofuels	Environmental sustainability	6
Case study	Circular business models	6
Recycling	Valorization	6
Energy	Resource recovery	6
Industrial symbiosis	by-products	6
Mechanical properties	Plastic waste	6
CO<sub>2</sub> emissions	Microalgae	6
Energy	Recycling	6
Industrial symbiosis	Waste	6
Biodegradable	Mechanical properties	6
Pyrolysis	Wastewater treatment	6
Biogas	Hydrogen	6
Bibliometric analysis	Food supply chain	6
Climate change	Plastic waste	6
CO<sub>2</sub> emissions	Wastewater treatment	6
Environmental sustainability	Heavy metals	6
Remanufacturing	industrial ecology	6
Plastic waste	Valorization	6
Policy	Resource efficiency	6
Case study	Environmental sustainability	6
Biofuels	Waste management	6
Material flow analysis	Wastewater	6
Renewable energy	industrial ecology	6
Biorefinery	Waste management	6
Construction	Systematic literature review	6
Biomass	Municipal solid waste	6
Lithium-ion batteries	Remanufacturing	6
Anaerobic digestion	Bioplastics	6
Biorefinery	Environmental sustainability	6
E-waste	Material flow analysis	6
Biodegradable	Bioeconomy	6
Waste	industrial ecology	6
Food waste	Nutrient recovery	6
Municipal solid waste	Plastic waste	6
Electric vehicles	Material flow analysis	6
Biodegradable	Waste management	6
Composting	Plastic waste	6
Nutrient recovery	Waste valorization	6
Waste management	Wastewater treatment	6
Bioenergy	Wastewater	6
Anaerobic digestion	Energy	6
Waste-to-energy	Wastewater	6
Biomass	by-products	6
Bioeconomy	Renewable energy	6
Adsorption	Waste management	6
Business model	Renewable energy	6
Remanufacturing	Waste management	6
Reuse	Wastewater treatment	6
Nutrient recovery	Recycling	6
Electric vehicles	Reuse	6
Industrial symbiosis	Industry 4.0	6
Environmental sustainability	Industrial symbiosis	6
Biowaste	Valorization	6
Agriculture	Recycling	6
Industry 4.0	Product-service system	6
Remanufacturing	Supply chain management	6
Construction and demolition waste	Material flow analysis	6
Decision-making	Wastewater	6
Biorefinery	Hydrogen	6
Remanufacturing	Supply chain	6
Life cycle assessment	Machine learning	6
Machine learning	Optimization	6
China	Material flow analysis	6
Additive manufacturing	Composting	6
Agriculture	Greenhouse gas emissions	6
Innovation	SMEs	6
Waste valorization	Wastewater	6
Food waste	Waste valorization	6
E-waste	Reverse logistics	6
Bioeconomy	Biogas	6
Bioeconomy	Waste	6
Biorefinery	Energy	6
Sustainable development goals	Wastewater	6
Biorefinery	antioxidants	6
CO<sub>2</sub> emissions	Waste valorization	6
Industry 4.0	Life cycle assessment	6
Chemical recycling	Recycling	6
Critical raw materials	industrial ecology	6
Greenhouse gas emissions	Municipal solid waste	6
E-waste	Remanufacturing	6
Barriers	Remanufacturing	6
Hydrogen	Pyrolysis	6
China	Resource efficiency	6
Plastic waste	Resource recovery	6
Circular business models	Resource efficiency	6
Food waste	bioactive compounds	6
Adsorption	Environmental sustainability	6
Innovation	Policy	6
Municipal solid waste	Policy	6
CO<sub>2</sub> emissions	Construction	6
Bibliometric analysis	Recycling	6
Mechanical properties	Waste management	6
Life cycle assessment	polyphenols	6
Digitalization	SMEs	6
Bibliometric analysis	Supply chain	6
Bioenergy	Waste valorization	6
Biorefinery	Wastewater treatment	6
Biomass	Biopolymers	6
Heavy metals	Nutrient recovery	5
Food waste	Systematic literature review	5
Hydrogen	Upcycling	5
Biorefinery	by-products	5
Energy	Recovery	5
Barriers	Closed-loop supply chain	5
Barriers	Food supply chain	5
Closed-loop supply chain	Food supply chain	5
Bioenergy	Food supply chain	5
COVID-19	Supply chain management	5
Biomass	Waste valorization	5
