	Circular economy	Sustainability	Recycling	Environmental sustainability	Waste management	Life cycle assessment	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	LCA	Waste-to-energy	Innovation	Food supply chain	by-products	Barriers	Construction and demolition waste	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Bioenergy	Hydrogen	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	Sewage sludge	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization	Green chemistry	Consumer behavior
Machine learning	71	27	13	5	11	6	7	1	1	5	4	2	1	0	1	1	2	7	2	3	0	4	2	2	1	1	1	1	4	0	1	1	2	0	3	1	0	1	2	2	0	0	1	1	0	0	2	2	1	0	1	0	3	0	0	1	0	0	0	1	0	0	3	0	4	0	1	0	1	3	0	1	0	1	0	0	0	2	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	1	2	1	0	6	0	0
Circular supply chain	117	57	2	3	0	0	2	0	2	1	12	0	0	0	0	0	0	0	8	2	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	2	0	2	0	0	1	0	1	0	15	0	7	0	0	0	3	0	0	0	0	0	12	0	0	0	1	2	0	1	1	0	0	0	11	0	0	1	0	0	5	3	0	1	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	1
Heavy metals	38	8	2	6	3	2	2	10	3	0	0	2	1	2	5	1	0	1	0	0	2	1	0	1	0	11	3	3	5	0	0	8	26	0	1	1	0	3	2	2	0	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Biodegradable	67	34	16	4	6	1	12	0	1	0	0	2	0	1	5	0	6	2	0	0	2	0	0	1	1	0	11	1	1	0	0	2	0	0	1	3	0	2	0	0	1	0	1	1	0	0	0	0	2	0	0	0	2	6	0	1	3	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	13	4	0	0	2	0	1	0	0	0	0	10	0	2	2	3	0	0	5	0	0	0	0	0	0	2	2
Systematic literature review	110	53	4	12	3	3	0	0	1	4	9	0	1	1	0	3	1	1	7	3	5	6	2	0	0	0	0	0	0	4	2	0	0	0	2	0	2	0	15	0	0	1	1	4	3	9	2	5	1	0	0	0	0	0	0	2	0	5	0	0	0	4	0	0	3	3	11	0	0	0	0	2	0	1	1	1	5	0	0	0	2	0	1	1	0	0	0	1	0	8	1	1	0	1	0	0	0	0	0	1
bioactive compounds	64	23	1	0	1	0	0	3	0	1	0	2	0	5	5	0	3	0	0	0	6	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	4	8	0	0	0	0	10	4	0	1	1	0	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	10	0	0	0	1	0	0	1	0	0	1	0
COVID-19	93	47	2	11	13	1	11	3	5	0	6	0	0	4	0	1	2	4	1	1	4	1	1	1	4	0	0	3	0	1	7	0	0	0	3	0	1	1	2	3	1	2	1	4	0	1	0	10	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	1	0	2	0	2	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	3	0	1	0	5	0	0	0	0	3	0	0	0	0	1
Textile waste	98	39	32	7	13	7	3	1	0	2	0	1	4	5	0	7	0	4	2	1	1	0	1	0	2	0	3	2	0	1	2	0	1	1	0	1	0	1	1	0	3	0	3	1	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	0	1	1	0	1	1	0	2	2	0	0	0	1	1	0	3	0	0	2	0	0	1	3
Bioplastics	84	22	10	7	13	16	14	2	2	3	0	6	1	1	1	0	17	1	0	0	5	0	2	5	4	1	8	2	0	0	0	1	0	0	0	0	1	5	1	0	1	0	1	2	0	0	0	2	3	3	4	1	5	4	0	1	2	0	0	0	0	0	0	0	0	1	0	0	13	1	1	2	0	0	8	0	0	3	0	3	0	1	0	0	7	2	3	3	0	0	0	0	1	0	0	1	1	0	0	0
Packaging	92	26	23	9	8	8	15	2	0	1	0	0	7	7	1	12	1	2	0	0	2	1	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	1	1	0	5	1	2	2	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	4	1	0	0	2	8	0	2	1	2	0	2	1	0	2	1	1	1	0	1	1	1	3	0	2	0	1	1	3	0	0	2
Literature review	102	64	8	8	4	12	0	0	2	4	7	1	0	1	0	1	1	1	8	5	3	7	2	0	1	0	1	0	0	7	1	0	0	3	2	0	3	0	15	0	2	0	1	3	0	1	3	5	2	0	0	0	0	0	0	0	0	8	0	0	1	4	1	0	1	0	5	0	0	1	0	1	1	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	0	5	2	1	0	1	1	0	2	1	0	4
Product-service system	120	38	3	8	3	10	0	0	3	7	6	0	0	1	0	3	0	0	16	9	0	4	1	0	0	0	0	0	0	17	0	0	0	10	0	0	1	0	1	0	1	0	2	0	0	2	0	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	7	0	2	0	3	0	0	5	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	1	0	0	6
Biowaste	60	16	4	7	10	10	0	2	4	1	0	11	0	1	3	0	8	7	1	0	10	0	1	7	2	1	8	1	4	0	0	2	4	0	1	10	0	2	0	0	1	2	0	0	4	0	1	0	0	6	3	1	1	0	4	3	1	0	0	0	4	0	0	1	4	2	0	3	2	0	0	0	0	3	2	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0
China	84	19	7	7	5	1	4	3	0	9	0	0	6	1	1	0	2	4	1	2	0	0	3	0	2	0	0	0	0	1	7	0	0	6	1	1	2	0	2	2	1	0	1	0	0	3	5	0	0	0	0	2	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1	0	0	2	0	1	0	0	0	0
Chemical recycling	84	8	6	3	3	16	38	1	0	2	0	1	2	1	1	1	0	1	0	1	0	0	0	0	0	0	2	23	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	3	0	0	1	0	1	1	0	4	0	1	0	0	1	0	8	0	0	0	0	1	0	0	1	1	3	2	0	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0	1	3	0
Indicators	113	49	2	8	5	6	1	4	4	3	3	0	1	2	1	1	7	1	0	2	0	2	1	1	1	1	0	0	1	2	0	0	0	3	3	1	1	0	0	0	4	0	2	2	0	3	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	1	1	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Techno-economic analysis	72	19	7	7	2	31	10	2	4	3	0	8	0	2	3	0	4	2	0	0	5	0	0	15	1	2	1	3	2	2	1	4	0	1	1	2	0	1	0	3	5	3	0	0	1	0	0	1	0	0	4	1	1	0	2	2	4	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	5	0	0	1	0	0	1	1	0	1	0	0	0	1	2	0	2	1	2	0	0
Recovery	71	11	33	8	7	2	5	6	2	1	0	1	4	7	2	12	1	4	0	1	1	1	1	1	1	0	1	2	3	0	0	1	4	0	0	1	3	3	3	0	1	1	1	0	0	0	0	1	3	3	2	3	1	0	0	0	1	0	8	5	1	2	1	1	1	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	1	0	5	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0
Energy	86	39	6	12	9	2	4	12	6	1	3	6	10	11	8	1	3	2	0	1	2	3	2	6	3	1	0	2	4	0	3	2	0	0	1	8	4	0	2	3	2	2	3	1	0	0	1	1	0	5	2	0	0	0	3	1	4	0	1	1	3	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	2	0	0	2	0	5	0	1	0	1	0	0	0	0	0	1	1	1	2	0	1	0	0
Biopolymers	60	27	5	5	2	0	5	2	2	1	0	2	0	5	6	0	1	0	0	0	1	0	2	9	2	2	5	1	0	0	0	2	1	0	2	0	1	4	0	2	0	0	0	4	1	0	0	0	0	1	2	0	3	2	1	0	2	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	2	7	1	0	0	1	0	1	0	0	0	1	0	0	5	4	1	0	0	0	1	0	0	0	0	0	1	0
Carbon footprint	83	24	13	16	5	20	9	0	4	3	1	1	2	0	2	2	3	0	0	0	2	1	1	3	0	2	1	1	1	0	4	0	0	1	1	3	0	1	0	1	6	0	0	1	0	0	0	1	1	0	2	1	1	1	5	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	2	2	1	0	0	0	2	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	1	2	0
Lignocellulosic biomass	42	19	0	4	2	3	3	1	0	0	0	5	0	1	8	0	5	0	0	0	1	0	1	20	5	0	0	4	0	0	0	2	0	0	1	4	0	2	0	0	1	1	0	1	0	0	0	1	1	4	11	0	0	2	2	4	4	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	3	0	0	0	1	0	0	0	1	1	1	5	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
3D printing	77	34	39	5	1	5	9	1	0	1	9	0	2	4	2	0	0	0	2	2	0	1	0	0	2	0	3	0	0	1	1	0	0	1	0	0	1	3	0	1	0	0	1	1	0	0	1	2	0	1	0	0	1	4	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	3	1	1	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	38	2	0	3	0	0	0	0	0
antioxidants	50	18	3	1	1	0	1	0	1	0	1	1	0	3	1	0	1	0	0	0	3	0	0	6	1	0	1	2	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	3	11	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	0	10	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Supply chain management	89	48	3	8	5	1	0	0	0	0	11	1	0	0	1	0	0	0	4	6	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	9	0	0	0	2	2	1	2	2	1	1	0	1	1	0	0	0	0	0	11	0	0	0	9	0	0	2	0	9	0	0	8	0	5	1	0	1	5	2	0	1	0	0	0	0	0	0	1	0	2	0	0	2	1	0	2	0	1	0	1	0	0
Case study	106	33	8	6	4	3	0	2	0	2	3	1	2	0	0	3	0	3	11	8	2	3	0	0	1	1	1	0	0	6	0	1	0	2	2	0	7	1	0	0	1	0	2	5	1	4	2	2	0	0	1	2	0	0	1	0	0	2	0	0	0	2	4	0	0	0	4	0	0	1	0	0	1	0	3	2	3	0	1	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0
Additive manufacturing	79	36	34	7	1	9	4	1	0	2	7	0	2	1	1	0	1	0	1	9	0	1	2	0	0	0	6	0	0	1	0	0	1	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	38	0	1	1	0	3	0	2	0	0	1	0	0
Upcycling	76	34	17	5	3	6	11	1	1	3	0	1	2	2	0	4	2	0	2	3	5	1	1	1	1	2	2	2	1	3	0	0	0	0	1	0	2	0	0	0	1	0	1	1	4	3	2	0	0	1	0	1	0	2	1	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	3	1	2	0	0	1	0	4	0	1	1	1	1	0	0	2	0	0	0	3	0	0	0	0	1	1	0	1
Electric vehicles	78	27	25	4	2	7	1	2	0	1	0	0	6	0	0	6	1	0	3	5	0	0	2	0	0	0	0	1	0	4	2	0	0	0	1	0	0	0	0	0	3	0	1	0	0	3	0	1	4	0	1	1	0	0	2	0	0	1	7	31	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	3	1	0
Waste recycling	69	22	1	5	2	5	4	3	2	2	1	0	1	1	1	0	0	3	0	0	2	1	1	0	4	2	1	1	0	1	1	1	2	2	1	0	1	2	0	0	0	2	0	0	0	0	5	0	0	0	3	0	1	3	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	3	0	0	1	1	0	3	0	0	0	0	0	1	0	1	0	3	0	0	0	2	0	0	0	0	0	2	0	0
Policy	91	34	12	9	9	5	4	4	4	2	1	0	3	3	0	3	2	6	4	4	4	3	0	2	2	0	0	0	1	2	2	0	0	6	3	0	1	0	0	1	2	2	6	1	0	1	2	1	1	1	0	0	0	0	0	0	0	0	1	2	2	1	1	0	1	1	0	0	0	0	1	0	2	1	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0
Eco-design	103	29	14	13	3	22	2	0	1	1	3	0	2	2	0	1	1	0	0	2	0	2	1	1	1	0	1	1	0	2	0	0	0	7	0	1	3	0	1	0	5	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0
Optimization	63	19	9	2	5	11	2	4	2	3	3	1	1	1	2	2	0	1	1	2	1	2	2	3	1	0	2	3	2	0	0	1	1	1	0	3	4	3	0	3	0	1	1	1	0	0	0	5	2	1	2	1	0	1	0	0	1	0	0	1	0	1	0	1	3	6	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	1	1	0	2	1	0	1	1	3	2	0	0	0	0	0
Green chemistry	71	31	8	3	9	6	1	0	1	3	0	0	2	2	4	0	3	0	0	0	4	0	0	6	1	0	0	1	0	0	0	1	1	1	1	0	1	4	0	0	1	1	0	0	2	0	0	0	0	3	2	1	0	1	0	0	2	0	2	1	0	0	0	5	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Consumer behavior	94	35	10	10	4	1	5	0	0	4	0	0	0	2	0	2	1	1	1	4	3	1	0	0	0	0	0	0	0	3	1	0	0	2	0	0	1	0	2	0	0	0	0	1	0	0	1	2	3	1	0	3	0	0	0	0	0	1	0	0	0	2	1	0	2	0	1	0	2	1	0	1	3	0	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
