keyword,canonical_form,cluster_id,freq
"Phosphate (H<sub>2</sub>PO<sub>4</sub><sup>-</sup>, HPO<sub>4</sub><sup>2-</sup>, PO<sub>4</sub><sup>3-</sup>) recovery","Phosphate (H<sub>2</sub>PO<sub>4</sub><sup>-</sup>, HPO<sub>4</sub><sup>2-</sup>, PO<sub>4</sub><sup>3-</sup>) recovery","Phosphate (H<sub>2</sub>PO<sub>4</sub><sup>-</sup>, HPO<sub>4</sub><sup>2-</sup>, PO<sub>4</sub><sup>3-</sup>) recovery",1
Sustainable development goals (SDG),Sustainability,Sustainability,5297
Wastewater treatment,Wastewater treatment,Wastewater treatment,299
Water reclamation,Water reclamation,Water reclamation,11
Policy evolving,Policy evolving,Policy evolving,1
Policy improvement,Policy improvement,Policy improvement,1
Solid waste management,Solid waste management,Solid waste management,77
Waste-free city,Waste-free city,Waste-free city,1
Market feasibility,Market feasibility,Market feasibility,1
Organic waste,Organic waste,Organic waste,116
Solid biofuels,Solid fuel,Solid fuel,11
Growth stimulant,Growth stimulant,Growth stimulant,1
Municipal sludge disposal,Municipal sludge disposal,Municipal sludge disposal,1
Soil amendments,Soil amendment,Soil amendment,49
Tomato foot and root rot,Tomato foot and root rot,Tomato foot and root rot,1
Eco-efficiency,Eco-efficiency,Eco-efficiency,63
Portfolio theory,Portfolio theory,Portfolio theory,1
Adsorption,Adsorption,Adsorption,255
Biogas leachate,Biogas leachate,Biogas leachate,1
Column study,Column study,Column study,3
Heavy metals,Heavy metals,Heavy metals,147
Scale-up,Scale-up,Scale-up,25
Adaptive reuse,Adaptive reuse,Adaptive reuse,52
Circular city,Circular economy,Circular economy,14811
Cultural and creative cities,Cultural and creative cities,Cultural and creative cities,2
Europe,Europe,Europe,42
Green deal,Green Deal,Green Deal,41
Heritage buildings,Heritage buildings,Heritage buildings,2
Heritage economics,Heritage economics,Heritage economics,2
Urban policy,Urban policy,Urban policy,6
Manufacturing,Remanufacturing,Remanufacturing,352
Social organizational life cycle assessment,Social organizational life cycle assessment,Social organizational life cycle assessment,1
Social sustainability,Social sustainability,Social sustainability,39
Machine learning,Machine learning,Machine learning,150
Virtual substitution,Virtual substitution,Virtual substitution,1
Activation method,Activation method,Activation method,1
Engineered biochar,Engineered biochar,Engineered biochar,10
Physicochemical properties,Physicochemical properties,Physicochemical properties,20
Pyrolysis condition,Pyrolysis condition,Pyrolysis condition,3
Sustainable waste management,Sustainability,Sustainability,5297
batteries,Batteries,Batteries,42
biomimicry,Biomimicry,Biomimicry,21
energy storage,Energy storage,Energy storage,74
wood,Wood,Wood,19
Green fuel,Green Deal,Green Deal,41
Chinese mining industry,Chinese mining industry,Chinese mining industry,1
Policy instruments,Policy instruments,Policy instruments,18
Policy objectives,Policy objectives,Policy objectives,2
Lipid,Lipids,Lipids,31
Polyhydroxyalkanoates (PHAs),Polyhydroxyalkanoates,Polyhydroxyalkanoates,72
Soil supplement,Soil supplement,Soil supplement,2
Acid mine drainage,Acid mine drainage,Acid mine drainage,19
Reclamation,reclamation,reclamation,13
Recovery of valuable minerals,Recovery of valuable minerals,Recovery of valuable minerals,1
Techno‐economic analysis,Techno‐economic analysis,Techno‐economic analysis,1
Treatment,Treatment,Treatment,25
Cascading,Cascading,Cascading,14
Closing the loop,Closed-loop,Closed-loop,82
Material recycling,Material flow analysis,Material flow analysis,421
Performance economy,Performance economy,Performance economy,3
Refurbishment,Refurbishment,Refurbishment,37
Remanufactur-ing,Remanufacturing,Remanufacturing,352
Repair,Repair,Repair,86
Repurpose,Repurposing,Repurposing,34
Reuse,Reuse,Reuse,364
Critical success factors,Critical success factors,Critical success factors,25
DELPHI,Delphi,Delphi,10
DEMATEL,DEMATEL,DEMATEL,44
Intuitionistic fuzzy,Intuitionistic fuzzy,Intuitionistic fuzzy,1
Solar photovoltaic energy ecosystem,Solar photovoltaic energy ecosystem,Solar photovoltaic energy ecosystem,1
Key performance indicators,Key performance indicators,Key performance indicators,18
Lean manufacturing,Lean manufacturing,Lean manufacturing,15
Value Stream Mapping,Value stream mapping,Value stream mapping,6
Char,Char,Char,26
Co-pyrolysis,Co-pyrolysis,Co-pyrolysis,8
Eucalyptus wood,Eucalyptus wood,Eucalyptus wood,1
Solid fuel,Solid fuel,Solid fuel,11
Waste low-density polyethylene,Waste low-density polyethylene,Waste low-density polyethylene,1
Entrepreneurship education,Entrepreneurship education,Entrepreneurship education,2
Human capital,Human capital,Human capital,9
Sustainable entrepreneurship,Sustainable entrepreneurship,Sustainable entrepreneurship,17
Besòs river area,Besòs river area,Besòs river area,1
Circular economy principles,Circular economy,Circular economy,14811
Sustainable urban water management,Sustainable urban water management,Sustainable urban water management,1
Water reuse technologies,Water reuse technologies,Water reuse technologies,1
Ananas comosus,Ananas comosus,Ananas comosus,2
Biomass,Biomass,Biomass,372
Plukenetia volubilis,Plukenetia volubilis,Plukenetia volubilis,3
Viability,Viability,Viability,6
Weissella cibaria,Weissella cibaria,Weissella cibaria,1
Leaching,Leaching,Leaching,64
Materials characterization,Materials characterization,Materials characterization,2
Polyurethane resin,Polyurethane resin,Polyurethane resin,1
Rubber tiles,Rubber tiles,Rubber tiles,1
Toxicity,Toxicity,Toxicity,23
Bentonites,Bentonite,Bentonite,7
Blast furnace slag,Blast furnace slag,Blast furnace slag,17
By-products,by-products,by-products,209
Design micas,Design micas,Design micas,1
Rice husk ash,Rice husk ash,Rice husk ash,37
Aquaculture,Aquaculture,Aquaculture,81
"Circular economy, Gut microbiome","Circular economy, Gut microbiome","Circular economy, Gut microbiome",1
Insect meal,Insect meal,Insect meal,15
"Metagenome, Next-generation sequencing, Rainbow trout","Metagenome, Next-generation sequencing, Rainbow trout","Metagenome, Next-generation sequencing, Rainbow trout",1
Skin microbiome,Skin microbiome,Skin microbiome,1
Tenebrio molitor,Tenebrio molitor,Tenebrio molitor,11
Modularity,Modularity,Modularity,13
Module optimization,Module optimization,Module optimization,1
Product lifecycle,Product life cycle,Product life cycle,38
Product modular design,Product modular design,Product modular design,1
Annona muricata seeds,Annona muricata seeds,Annona muricata seeds,1
Antioxidant activity,antioxidant activity,antioxidant activity,82
Phenolic compounds,Phenolic compounds,Phenolic compounds,94
Principal component analysis,Principal component analysis,Principal component analysis,13
Subcritical water extraction,Subcritical water extraction,Subcritical water extraction,12
Supercritical fluid extraction,Supercritical fluid extraction,Supercritical fluid extraction,16
decoupling,Decoupling,Decoupling,27
life cycle assessment (LCA),Life cycle assessment,Life cycle assessment,1021
material flow accounting/analysis (MFA),material flow accounting/analysis (MFA),material flow accounting/analysis (MFA),2
resource efficiency,Resource efficiency,Resource efficiency,254
Biogas,Biogas,Biogas,247
GHG emission,GHG emissions,GHG emissions,38
Tapioca starch,Tapioca starch,Tapioca starch,1
Thailand,Thailand,Thailand,16
Waste recovery,Waste recovery,Waste recovery,58
Animal Manure,Animal manure,Animal manure,8
Environmental Impact,Environmental sustainability,Environmental sustainability,1324
Livestock farming,Livestock farming,Livestock farming,1
Logistic Problem,Logistic Problem,Logistic Problem,1
Optimization,Optimization,Optimization,121
Associative Behaviours,Associative Behaviours,Associative Behaviours,1
Distributed Ledger Technology,Distributed recycling,Distributed recycling,31
Information Circularity,Information Circularity,Information Circularity,1
Sustainable Business Models,Sustainability,Sustainability,5297
Sustainable Shipping,Sustainability,Sustainability,5297
TradeLens,TradeLens,TradeLens,1
Compositional information,Compositional information,Compositional information,1
Scrap quality,Scrap quality,Scrap quality,2
Steel,Steel,Steel,38
Agri-based circular economy,Agri-based circular economy,Agri-based circular economy,1
Bioclimatic buildings design,Bioclimatic buildings design,Bioclimatic buildings design,1
Bioplastic,Bioplastics,Bioplastics,142
Wine waste,Wine waste,Wine waste,3
In-situ composting,In-situ composting,In-situ composting,1
Organic mulch,Organic mulch,Organic mulch,2
Predatory nematodes,Predatory nematodes,Predatory nematodes,1
Surface mulching,Surface mulching,Surface mulching,1
Sustainable crop protection,Sustainable crop protection,Sustainable crop protection,1
Amphidinol,Amphidinol,Amphidinol,2
Carotenoids,Carotenoids,Carotenoids,40
Dinoflagellate,Dinoflagellate,Dinoflagellate,1
Fatty acids,Fatty acids,Fatty acids,34
Solvent partitioning,Solvent partitioning,Solvent partitioning,1
Conservation management,Conservation management,Conservation management,1
Dry land,Dry land,Dry land,1
Microbial community,Microbial community,Microbial community,30
Microbial diversity,Microbial diversity,Microbial diversity,5
Sustainable agriculture,Sustainability,Sustainability,5297
Collection methods,Collection methods,Collection methods,1
Containers for e-waste,Containers for e-waste,Containers for e-waste,1
Small e-waste,Small e-waste,Small e-waste,1
Social attitude,Social attitude,Social attitude,2
Social awareness,Social awareness,Social awareness,3
Waste electrical and electronic equipment,Waste electrical and electronic equipment,Waste electrical and electronic equipment,70
WEEE,WEEE,WEEE,91
Broiler production system,Broiler production system,Broiler production system,1
Indicators,Indicators,Indicators,132
Life Cycle Assessment,Life cycle assessment,Life cycle assessment,1021
Modified Material Circularity Indicator,Modified Material Circularity Indicator,Modified Material Circularity Indicator,1
expired pharmaceutical drugs,expired pharmaceutical drugs,expired pharmaceutical drugs,1
triboelectric nanogenerators,triboelectric nanogenerators,triboelectric nanogenerators,4
Mine tailings management,Mine tailings management,Mine tailings management,2
Mine water management,Mine water management,Mine water management,1
Real options,Real options,Real options,3
Water-energy nexus,Water-energy nexus,Water-energy nexus,20
Catalytic wet peroxide oxidation,Catalytic wet peroxide oxidation,Catalytic wet peroxide oxidation,1
Compost,Composting,Composting,298
Contaminants of emerging concern,Contaminants of emerging concern,Contaminants of emerging concern,11
Micropollutant,Micropollutants,Micropollutants,11
Waste valorization,Waste valorization,Waste valorization,240
Heat recovery,Heat recovery,Heat recovery,6
Heat transfer,heat transfer,heat transfer,3
Modelling,Modelling,Modelling,25
Sewer system,Sewer system,Sewer system,1
Temperature dynamics,Temperature dynamics,Temperature dynamics,1
eco-efficiency,Eco-efficiency,Eco-efficiency,63
green technology,Green technology,Green technology,49
mine wastes,Mining waste,Mining waste,72
technospheric mining,technospheric mining,technospheric mining,2
Bioplastics,Bioplastics,Bioplastics,142
Plant oil,Plant oil,Plant oil,3
Polyhydroxyalkanoate,Polyhydroxyalkanoates,Polyhydroxyalkanoates,72
Agri-food sector,Food supply chain,Food supply chain,212
Food supply chain,Food supply chain,Food supply chain,212
Value chain,Value chain,Value chain,116
Eco-friendly fertilizer,Eco-friendly fertilizer,Eco-friendly fertilizer,1
Eutrophication,Eutrophication,Eutrophication,31
Phosphorous,Phosphorus,Phosphorus,113
Struvite recovery,Struvite recovery,Struvite recovery,2
Urine,Urine,Urine,15
Eco-design,Eco-design,Eco-design,121
European Green Deal,European Green Deal,European Green Deal,39
European Union Market,European Union Market,European Union Market,1
Global market,Global market,Global market,1
Eco-industrial park (EIP),Eco-industrial parks,Eco-industrial parks,46
Industrial symbiosis,Industrial symbiosis,Industrial symbiosis,243
Innovative infrastructure,Innovative infrastructure,Innovative infrastructure,1
Resource efficiency,Resource efficiency,Resource efficiency,254
Secondary resources,Secondary resources,Secondary resources,29
Sustainable development,Sustainability,Sustainability,5297
Biomass waste,Biomass,Biomass,372
Biorefinery,Biorefinery,Biorefinery,321
Circular (bio)economy,Circular economy,Circular economy,14811
Clean technologies,Clean technologies,Clean technologies,9
Circular construction,Circular economy,Circular economy,14811
Construction waste,Construction,Construction,350
Economic analysis,Economic analysis,Economic analysis,43
Energy evaluation,Energy evaluation,Energy evaluation,1
Forage production,Forage production,Forage production,1
Maize-wheat,Maize-wheat,Maize-wheat,1
Agri-food by-products,agri-food by-products,agri-food by-products,13
Construction and demolition waste,Construction and demolition waste,Construction and demolition waste,199
Energy savings,Energy saving,Energy saving,27
Recycled aggregates,Recycling,Recycling,1899
Alkaline solution,Alkaline solution,Alkaline solution,2
Composite materials design,Composite materials design,Composite materials design,1
Compressive strength,Compressive strength,Compressive strength,60
Curing,Curing,Curing,3
Fly ash,Fly ash,Fly ash,98
Geopolymer concrete,Geopolymer concrete,Geopolymer concrete,16
Mix proportion,Mix proportion,Mix proportion,1
Sustainable concrete,Sustainability,Sustainability,5297
Coprinopsis cinerea,Coprinopsis cinerea,Coprinopsis cinerea,1
laccase characteristics,laccase characteristics,laccase characteristics,1
laccase-mediator systems,laccase-mediator systems,laccase-mediator systems,1
lignin depolymerization,lignin depolymerization,lignin depolymerization,2
structural analysis,structural analysis,structural analysis,4
Allelopathy,Allelopathy,Allelopathy,3
Ferality,Ferality,Ferality,1
Herbicide-resistant rice varieties,Herbicide-resistant rice varieties,Herbicide-resistant rice varieties,1
Integrated weed management,Integrated weed management,Integrated weed management,1
Non-chemical weed management,Non-chemical weed management,Non-chemical weed management,1
Oryza sativa f. spontanea,Oryza sativa f. spontanea,Oryza sativa f. spontanea,1
bibliographic coupling,bibliographic coupling,bibliographic coupling,6
innovation,Innovation,Innovation,215
systematic literature review,Systematic literature review,Systematic literature review,146
Agavaceae,Agavaceae,Agavaceae,1
Bioeconomy,Bioeconomy,Bioeconomy,357
Green composite,green composites,green composites,15
Polyhydroxyalkanoates,Polyhydroxyalkanoates,Polyhydroxyalkanoates,72
Design education,Design education,Design education,12
Design for the circular economy,Design for the circular economy,Design for the circular economy,1
Sustainable design,Sustainability,Sustainability,5297
Sustainable product design,Sustainability,Sustainability,5297
Agri-food,Food supply chain,Food supply chain,212
Facing bricks,Facing bricks,Facing bricks,2
Global warming potential,Global warming potential,Global warming potential,29
Olive mill wastewater reuse,Olive mill wastewater reuse,Olive mill wastewater reuse,1
Case studies,Case study,Case study,126
Construction industry,Construction,Construction,350
Bacillus sp.,Bacillus,Bacillus,10
Biopolymers,Biopolymers,Biopolymers,130
Coniferous tree,Coniferous tree,Coniferous tree,1
Wood juice,Wood juice,Wood juice,2
Integrated reporting,Integrated reporting,Integrated reporting,7
Value creation,Value chain,Value chain,116
Biodrying,Biodrying,Biodrying,3
Mass balance,Mass balance,Mass balance,15
Mechanical-biological treatment,Mechanical-biological treatment,Mechanical-biological treatment,5
Municipal waste,Municipal solid waste,Municipal solid waste,357
Waste stream reduction,Waste stream reduction,Waste stream reduction,1
Biostimulants,Biostimulants,Biostimulants,40
Composite,Composting,Composting,298
Granulation,Granulation,Granulation,4
Tanning shavings,Tanning shavings,Tanning shavings,1
Waste collagen,Waste collagen,Waste collagen,1
Bio-hydrogen,Biohydrogen,Biohydrogen,35
Clostridium,Clostridium,Clostridium,3
Dark fermentative hydrogen-producing bacteria (dHPB),Dark fermentative hydrogen-producing bacteria (dHPB),Dark fermentative hydrogen-producing bacteria (dHPB),1
Reverse transcriptase quantitative PCR (RT-qPCR),Reverse transcriptase quantitative PCR (RT-qPCR),Reverse transcriptase quantitative PCR (RT-qPCR),1
[FeFe]-hydrogenase,[FeFe]-hydrogenase,[FeFe]-hydrogenase,1
Life cycle analysis,Life cycle analysis,Life cycle analysis,67
Material flow analysis,Material flow analysis,Material flow analysis,421
Plastic waste,Plastic waste,Plastic waste,614
COVID-19 impact,COVID-19 pandemic,COVID-19 pandemic,23
Sustainable development goals,Sustainable development goals,Sustainable development goals,247
Market interactions,Market interactions,Market interactions,1
Technology investment,Technology investment,Technology investment,1
Waste treatment,Wastewater,Wastewater,497
Dimensions of symbiosis,Dimensions of symbiosis,Dimensions of symbiosis,1
KIC4,KIC4,KIC4,2
Kwinana Industrial Area,Kwinana Industrial Area,Kwinana Industrial Area,2
Water circular economy,Water circular economy,Water circular economy,8
Bioenergy recovery,Bioenergy recovery,Bioenergy recovery,3
Hydrochar production,Hydrochar production,Hydrochar production,1
Hydrothermal carbonisation,Hydrothermal carbonisation,Hydrothermal carbonisation,6
Chemical speciation,Chemical precipitation,Chemical precipitation,11
Gas emission,Gas emission,Gas emission,9
Migrations,Migration,Migration,15
Textile dyeing sludge,Textile dyeing sludge,Textile dyeing sludge,3
SCOR,SCOR,SCOR,3
Supply chain business processes,Supply chain business processes,Supply chain business processes,2
Positive energy districts,positive energy districts,positive energy districts,3
Sustainable districts,Sustainable districts,Sustainable districts,1
Multicriteria decision-making,Multi-criteria decision analysis,Multi-criteria decision analysis,111
Bibliometric analysis,Bibliometric analysis,Bibliometric analysis,236
Municipal wastewater,Municipal wastewater,Municipal wastewater,28
Mixed Methods Research,Mixed Methods Research,Mixed Methods Research,2
Organizational support,Organizational support,Organizational support,2
Pro-environmental behavior,Pro-environmental behavior,Pro-environmental behavior,14
Recycling at home,Recycling at home,Recycling at home,1
Recycling at work,Recycling at work,Recycling at work,1
Structural Equation Modeling (SEM),Structural Equation Modeling (SEM),Structural Equation Modeling (SEM),1
Urban mining,Urban mining,Urban mining,95
Coffee supply chain,Coffee supply chain,Coffee supply chain,2
Multi-objective optimization,Multi-objective optimization,Multi-objective optimization,36
Resource-Task-Network,Resource-Task-Network,Resource-Task-Network,1
Superstructure optimization,Superstructure optimization,Superstructure optimization,2
Agent-based modelling,Agent-based modelling,Agent-based modelling,4
Business model experimentation,Business model experimentation,Business model experimentation,6
Industrial symbiosis networks,Industrial symbiosis,Industrial symbiosis,243
biomaterials,Biomaterials,Biomaterials,62
mechanical properties,Mechanical properties,Mechanical properties,177
photopolymerization,photopolymerization,photopolymerization,4
resins,Resins,Resins,8
spectroscopy,spectroscopy,spectroscopy,12
10R principles,10R principles,10R principles,1
Cities,Cities,Cities,34
Evidence mapping,Evidence mapping,Evidence mapping,1
Urban transitions,Urban transitions,Urban transitions,11
apple by-product,apple by-product,apple by-product,2
Fructilactobacillus florum,Fructilactobacillus florum,Fructilactobacillus florum,1
Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces cerevisiae,14
waste management,Waste management,Waste management,1103
wheat flour,wheat flour,wheat flour,2
Developing country,Developing countries,Developing countries,95
Urban development,Urban development,Urban development,15
Waste disposal,Waste disposal,Waste disposal,20
Waste reuse,Wastewater,Wastewater,497
Copper slag,Copper slag,Copper slag,10
Heavy metal,Heavy metals,Heavy metals,147
Hydrometallurgy,Hydrometallurgy,Hydrometallurgy,59
Mineralogy,Mineralogy,Mineralogy,9
Pyrometallurgy,Pyrometallurgy,Pyrometallurgy,21
Socioeconomic impact,Socio-economic metabolism,Socio-economic metabolism,24
Clay,clay,clay,15
Irrigation water,Irrigation,Irrigation,28
Magnetic nanoparticles,Magnetic nanoparticles,Magnetic nanoparticles,3
Wastewater reuse,Wastewater,Wastewater,497
Black soldier fly larvae,Black soldier fly,Black soldier fly,60
Lates calcarifer,Lates calcarifer,Lates calcarifer,2
Microbiota,Microbiome,Microbiome,22
Mucin cells,Mucin cells,Mucin cells,1
Poultry by-products,Poultry by-products,Poultry by-products,6
Automotive industry,Automotive industry,Automotive industry,34
Policy recommendations,Policy recommendations,Policy recommendations,6
