keyword,frequency
Environmental concerns,95
Environmental assessment,95
cost benefit analysis,95
Biochemistry,95
Machine-learning,95
Bioactive compounds,94
Polyethylenes,94
Japan,94
composite,94
symbiosis,94
"Metals, Heavy",94
biodegradability,94
Economic growths,94
biodiversity,94
tensile strength,94
Consumer behavior,94
Alumina,93
heating,93
Sustainable Development,93
Distillation,93
Environmental issues,93
human experiment,93
Recycled materials,93
Closed-loop supply chain,93
Mechanical,92
Fungi,92
microbiology,92
ash,92
software,92
Plastics recycling,92
cost analysis,92
Digital storage,92
Cathodes,92
management practice,92
Farms,92
Oxygen,92
policy approach,91
antioxidant activity,91
Biomethane,91
efficiency measurement,91
Thermal insulation,91
Buildings,91
chemical structure,91
Circularity,91
Vegetables,91
Cleaner production,91
Calcium carbonate,91
surface property,90
Biodiversity,90
Recyclability,90
acidification,90
nanoparticle,90
Metal ions,89
thermodynamics,89
Water quality,89
Waste Products,89
Integer programming,89
Mass spectrometry,89
Solar energy,89
Electric vehicles,89
building industry,89
Chemical oxygen demand,89
Energy transitions,89
Internet of things,89
Industrial emissions,89
Reinforcement,89
modeling,88
high performance liquid chromatography,88
Pollution,88
Desalination,88
Industrial water treatment,88
Construction Materials,88
Portugal,88
Plant Extracts,88
3D printing,88
Critical raw materials,87
Sustainable development goal,87
Land use,87
Lignocellulosic biomass,87
electric vehicle,87
France,87
Nitrogen removal,87
Belgium,87
European Commission,87
vegetable,87
Organic carbon,86
Solar power generation,86
maize,86
Waste water treatment plants,86
polyphenol,86
lignocellulose,86
chemical reaction,86
arsenic,85
Tires,85
Production process,85
carbon source,85
alcohol,85
electric conductivity,85
polypropylene,85
biopolymer,85
food security,85
Machine learning,85
cost effectiveness analysis,85
holistic approach,85
ion exchange,85
construction and demolition waste,84
model,84
coffee,84
Techno-Economic analysis,84
Coal,84
Secondary Raw Materials,84
Organics,84
moisture,84
gasification,84
Cotton,84
global warming,84
biofilm,84
3D-printing,84
Lithium compounds,83
Benchmarking,83
isotherm,83
Glucose,83
Biogas production,82
industrial development,82
Industrial wastes,82
pollution control,82
Esters,82
Activation energy,82
steel,82
Natural resources,82
Low-costs,82
Production and consumption,81
digitization,81
Policy makers,81
carbonization,81
Buildings materials,81
desorption,81
Potassium hydroxide,81
Critical review,81
Hydrogen-Ion Concentration,81
plant growth,81
food processing,81
environmental risk,81
food packaging,81
Membranes,81
toxicity,81
Hazards,81
Groundwater,80
Bioethanol,80
Diptera,80
Recycling technology,80
Cement industry,80
Sustainability assessment,80
Hydrometallurgy,80
Material flow analysis,80
waste water,80
Material Flow,79
Mammals,79
Large amounts,79
public health,79
acetic acid,79
trend analysis,79
Monomers,79
design method,79
Regression analysis,79
Carbon capture,78
Global warming potential,78
logistics,78
Recycling rate,78
Waste electrical and electronic equipment,78
Sustainable supply chains,78
Sustainable materials,78
industrial production,78
Calcite,78
waste disposal facility,78
bioavailability,78
regulatory framework,78
plastic pollution,78
quality control,78
Potable water,77
cost,77
Greenhouses gas,77
Ionic liquids,77
cultivation,77
Cost reduction,77
reaction kinetics,77
Energy-consumption,77
polysaccharide,77
energy,77
Silicates,76
Blockchain,76
Blast furnaces,76
polyhydroxyalkanoic acid,76
alternative agriculture,76
socioeconomics,76
Saccharomyces cerevisiae,76
Forecasting,76
water pollution,76
Rubber,76
Human health,76
Electronics wastes,76
Denmark,76
energy use,76
Carbon sequestration,76
sustainable development goal,76
Geopolymers,75
environmental issue,75
household,75
Bioproducts,75
Oxidation,75
Yeast,75
Anaerobics,75
Sustainable management,75
dye,75
thermostability,75
Environmental Monitoring,75
Printed circuit boards,75
Zinc,75
Repair,75
Indonesia,75
Plastic packaging,75
slag,75
Composite materials,75
reduction,75
renewable resource,74
profitability,74
Brick,74
Gas chromatography,74
Municipal waste,74
Flavonoids,74
sanitation,74
trace element,74
Waste Disposal Facilities,74
Lactic acid,74
hydrogen peroxide,74
Environmental challenges,74
flame retardant,74
Inorganic polymers,73
Food industries,73
Starch,73
fungus,73
Bioeconomy,73
Uncertainty,73
larva,73
decision support system,73
Electrolytes,73
Social aspects,73
drinking water,73
Synthesised,73
Synthesis gas,72
microorganism,72
Bibliometrics analysis,72
Circular business model,72
Adsorption capacities,72
questionnaire,72
building material,72
Sustainable construction,72
Crosslinking,72
crop production,72
Urban growth,72
Volatile fatty acids,72
Reverse logistics,72
mathematical model,72
Wine,72
crystallization,72
Waste management systems,72
Hydrogen,71
particulate matter,71
Molar ratio,71
polyester,71
Life cycle analysis,71
Hydrothermal carbonization,71
glucose,71
Photovoltaics,71
Biological water treatment,71
socioeconomic conditions,71
livestock,71
mitigation,71
Housing,71
Greenhouse Gases,71
microplastic,71
organization,70
struvite,70
Lipids,70
antimicrobial activity,70
chemical compound,70
industrialization,70
Fish,70
State of the art,70
Waste plastic,70
Raw materials,70
International trade,70
Mechanical performance,70
Sludge digestion,70
Digital technologies,70
Fruit,70
Timber,70
Glycerol,70
Separation,70
Green manufacturing,70
Differential scanning calorimetry,70
Environmental footprints,70
photovoltaic system,69
urban development,69
diet,69
metallurgy,69
biodiesel,69
product development,69
marketing,69
Purification,69
awareness,69
soil fertility,69
Copper compounds,69
Organic pollutants,69
Paper,69
carboxylic acid,69
technology adoption,68
separation,68
Nanocomposites,68
Indicators (chemical),68
Single use,68
Adhesives,68
pig,68
polystyrene,68
energy conservation,67
high temperature,67
Sustainable waste management,67
Aquaculture,67
Poland [Central Europe],67
Biocompatibility,67
Biomass wastes,67
Membrane technology,67
Soil pollution,67
Thermal,67
sewage treatment,67
competitiveness,67
economic cycle,67
antiinfective agent,67
ecotoxicity,67
Clean energy,67
agroindustry,66
ecosystem restoration,66
fuzzy mathematics,66
algorithm,66
3D printers,66
nanocomposite,66
Low carbon,66
Enzymatic hydrolysis,66
Metals recoveries,66
database,66
Water treatment plants,66
Bending strength,66
Carbon capture and utilization,66
energy storage,66
Sustainable energy,66
nutritional value,65
industrial performance,65
matrix,65
Phenolic compounds,65
animal experiment,65
Lithium,65
water resource,65
nanomaterial,65
environmental indicator,65
Trace elements,65
Deterioration,65
genetics,65
Nickel,65
Product-service systems,65
Economic Development,65
Biocomposite,65
marine environment,65
Green-chemistry,65
Food packaging,65
developing country,64
silver,64
Catalyst activity,64
Gases,64
Industrial by-products,64
plant leaf,64
petroleum,64
absorption,64
Nanoparticles,64
policy,64
bioaccumulation,64
Sustainable solution,64
analysis,64
Manure,64
metal recovery,64
Titanium dioxide,63
filtration,63
mass fragmentography,63
Metabolites,63
desalination,63
Ashes,63
High density polyethylenes,63
Artificial intelligence,63
Contamination,63
Electric vehicle batteries,63
Concrete mixtures,63
Chitosan,63
Internet,63
denitrification,63
Wind power,63
infrared spectroscopy,63
Energy dispersive spectroscopy,63
rural area,63
Battery recycling,63
economic impact,62
Electronic equipment,62
mass spectrometry,62
Sustainable manufacturing,62
education,62
Urea,62
sodium,62
Styrene,62
sulfate,62
molecular weight,62
purification,62
Methanol,62
germination,62
Green economy,62
Technological innovation,61
Wood products,61
Environmental Pollution,61
organic carbon,61
Block-chain,61
fuel,61
physicochemical property,61
Sodium chloride,61
carotenoid,61
nutrient cycling,61
Barrier,61
electrode,61
Sustainable consumption,61
Materials handling,61
Thailand,61
Spent lithium-ion batteries,61
soil pollutant,61
crop residue,61
Phosphates,60
Fuels,60
Binary alloys,60
plant seed,60
Production,60
Aromatic compounds,60
pandemic,60
Behavioral research,60
poultry,60
Upcycling,60
Sustainable business,60
additive,60
Economic development,60
Sewage pumping plants,60
market,60
life cycle stage,60
Circular strategies,60
law,60
plant,60
market conditions,60
sulfur,60
corporate social responsibility,59
immobilization,59
phytoremediation,59
isolation and purification,59
Coal industry,59
Waste heat,59
Energy storage,59
Water filtration,59
Environmental burdens,59
public attitude,59
Romania,59
glass,59
Thermodynamic stability,59
Soil Pollutants,59
Anodes,59
calcium carbonate,59
Climate models,59
Canada,59
Rare earth elements,59
Sintering,58
elemental analysis,58
Energy security,58
Polyvinyl chlorides,58
Energy productions,58
Solar panels,58
Extrusion,58
Renewable energy source,58
volatile fatty acid,58
Poland,58
Wetlands,58
incentive,58
Injection molding,58
Norway,58
land use,58
rubber,58
Carbonation,58
organic compound,58
Palm oil,57
Animal Feed,57
methanogenesis,57
Composites material,57
electrochemistry,57
hydrocarbon,57
Pore size,57
cement (construction material),57
Vitis,57
cement,57
Citrus fruits,57
electrochemical analysis,57
uncertainty,57
hemicellulose,57
photosynthesis,57
starch,57
Geopolymer,56
Tensile testing,56
Recycled aggregates,56
Ash handling,56
municipal wastewater,56
cost-benefit analysis,56
Molecular biology,56
Industrial wastewaters,56
environmental aspects and related phenomena,56
Electrolysis,56
Cobalt,56
drug,56
Regional planning,56
enzymatic hydrolysis,56
Paper and pulp industry,56
Liquids,56
Recycling methods,56
scenario analysis,56
Synthesis (chemical),56
Digitalization,56
oxidation reduction reaction,56
municipal waste,56
Mineral resources,55
economic evaluation,55
scale up,55
depolymerization,55
gas,55
Leather,55
Biomass valorizations,55
food production,55
analytic method,55
zeolite,55
legislation,55
Nutrition,55
Chlorella vulgaris,55
Washing,55
Microfiltration,55
Decarbonization,55
soil quality,55
Chemical compositions,55
Recycled plastics,55
artificial neural network,55
lanthanide,55
Pelletizing,55
solubility,55
Polystyrenes,55
ceramics,55
consumer attitude,55
Porosity,54
Sodium compounds,54
microwave radiation,54
lactic acid,54
Stochastic systems,54
Switzerland,54
Amino acids,54
fish,54
electricity generation,54
Electrodialysis,54
Manufacturing industries,54
Climate change mitigation,54
Management IS,54
Knowledge management,54
Hydration,54
Graphene,54
Hydrogen bonds,54
Dyes,54
salinity,54
Reuse and recycling,54
Food processing,54
Source separation,54
prediction,54
X ray photoelectron spectroscopy,54
hydrophobicity,54
alkalinity,54
Material recovery,54
Manufacturing process,54
health hazard,53
urban economy,53
agro-industrial waste,53
digestion,53
Multiobjective optimization,53
Operating costs,53
Reverse osmosis,53
Reaction kinetics,53
Polysaccharides,53
mine waste,53
Chile,53
carbon dioxide emission,53
network analysis,53
South Africa,53
industrial technology,53
fuel cell,53
Natural resources management,53
Volatile organic compounds,52
End of life managements,52
Pakistan,52
bibliography,52
air pollution,52
bibliometrics,52
Malaysia,52
rare earth element,52
demand analysis,52
Calcination,52
benchmarking,52
Syn gas,52
aquatic environment,52
agricultural land,52
amino acid,52
Business modeling,52
crop,52
biosynthesis,52
Chemical stability,51
Ion batteries,51
nitrate,51
Rivers,51
heavy metal removal,51
High quality,51
regression analysis,51
Emerging economies,51
Contact angle,51
Packaging waste,51
Extended producer responsibility,51
Data envelopment analysis,51
Chemical contamination,51
Renewable resource,51
oxidative stress,51
Resources consumption,51
Fiber reinforced plastics,51
Industrial engineering,51
Production engineering,51
seasonal variation,50
Content analysis,50
Water supply,50
Industrial sector,50
Socio-economics,50
Biofilms,50
Power,50
Techno-economics,50
oil,50
Chitin,50
gas chromatography,50
Simple++,50
Microplastic,50
exploration,50
Timing circuits,50
Bagasse,50
Curing,50
Sustainability transition,50
Life Cycle Stages,50
yeast,50
statistical analysis,50
Toxicity,50
Industrial processs,50
Gross Domestic Product,50
contamination,50
Zinc compounds,50
waste-to-energy,49
Olive oil,49
Agro-industrial wastes,49
Intelligent buildings,49
pesticide,49
Mass transfer,49
Storage (materials),49
enzyme,49
Chlorella,49
urban planning,49
Supplementary cementitious material,49
agricultural worker,49
Silicon,49
environmental parameters,49
flavonoid,49
adoption,49
Waste reduction,49
physical parameters,49
England,49
biofertilizer,49
Viet Nam,49
Business model innovation,49
Sewage treatment plants,49
Swine,49
phytotoxicity,49
Deep learning,49
Mapping,48
System theory,48
Municipal wastewaters,48
mercury,48
ultraviolet radiation,48
economic policy,48
Principal component analysis,48
principal component analysis,48
Petroleum industry,48
Deep eutectic solvents,48
Solid waste management,48
Gasoline,48
Resins,48
Eco-efficiency,48
Integration,48
Secondary batteries,48
Catalytic pyrolysis,48
Processes,48
"growth, development and aging",48
flocculation,48
Response-surface methodology,48
chitosan,48
Concrete products,48
Thermosets,48
biomaterial,48
Gypsum,48
interview,48
silicon dioxide,48
Nitrogen fertilizers,48
Fabrication,48
Coal ash,48
response surface method,48
Industrial chemicals,48
olive tree,48
in vitro study,48
Dialysis membranes,48
Waste utilization,48
Sustainable practices,48
Nickel compounds,48
Economic feasibilities,47
automation,47
climate,47
Lithium ions,47
Surface properties,47
natural gas,47
gold,47
alga,47
Coal combustion,47
fractionation,47
Magnesium compounds,47
Natural fibers,47
Coatings,47
Impact on the environment,47
Materials,47
food intake,47
Second Life,47
ecology,47
Cost effective,47
reduction (chemistry),47
Tensile Strength,47
Repurposing,47
equipment,47
Plants,47
Characterization,47
Nanocellulose,46
differential scanning calorimetry,46
Design,46
Secondary resources,46
Waste recoveries,46
Techno-economic assessment,46
Conceptual frameworks,46
Stabilization,46
Toxic materials,46
nanotechnology,46
Lignocellulose,46
Ultrafiltration,46
Calorific value,46
Computer software,46
Water reuse,46
Organic solvents,46
Beverages,46
ion,46
drug effect,46
methanol,46
Thermodynamics,46
Hierarchical systems,46
wheat,46
Glass transition,46
Municipal solid waste management,46
analytical hierarchy process,46
Electric power generation,46
II-VI semiconductors,46
energy balance,46
crystal structure,46
geographic distribution,46
Product Packaging,46
case study,46
volatile organic compound,46
insect,45
biochemical oxygen demand,45
biosolid,45
water vapor,45
Water resources,45
Sustainable agriculture,45
uncertainty analysis,45
resin,45
catering service,45
Peptides,45
ecosystem service,45
Spent coffee grounds,45
X ray powder diffraction,45
adaptive management,45
Porous materials,45
Supercapacitor,45
infrastructure,45
biological activity,45
Material efficiency,45
Phosphorus recovery,45
Yarn,45
Electric furnaces,45
transmission electron microscopy,45
Wastewater treatment plants,45
Packaging machines,45
food safety,45
limit of detection,45
Design/methodology/approach,45
Renewable energy,45
Isotherms,44
Sand,44
Product life cycles,44
vegetable oil,44
corporate strategy,44
coronavirus disease 2019,44
Coal Ash,44
data analysis,44
environmental degradation,44
citric acid,44
Waters resources,44
Thermoanalysis,44
lithium ion,44
traffic and transport,44
GIS,44
Construction Industry,44
dissolution,44
Structural design,44
Eutectics,44
Resource use,44
soil property,44
reverse osmosis,44
student,44
European Countries,44
"Spectroscopy, Fourier Transform Infrared",44
Wind turbine blades,44
Organic chemicals,44
Production efficiency,44
Cobalt compounds,43
Pilot plants,43
hydroponics,43
Building blockes,43
Water management,43
Dissolution,43
Monte Carlo methods,43
Economic benefits,43
Bacteriology,43
textile,43
complexity,43
Coffee,43
trade-off,43
Biogeochemistry,43
building construction,43
Ethylene glycol,43
Polymer blends,43
learning,43
Rural areas,43
Hazardous wastes,43
Electrical and electronic equipment,43
Saccharification,43
Scopus,43
beverage,43
asphalt,43
phytochemical,43
Artificial life,43
temperature effect,43
Hemp,43
Nitrogen oxides,43
Irrigation,43
Drying,43
Fluidized beds,43
Roads and streets,43
Ireland,43
constructed wetland,43
Bibliometric,43
monomer,43
Olea,43
Biodiesel production,43
Effluent Treatment,43
total organic carbon,43
Bottles,43
horticulture,43
environmental temperature,43
global warming potential,43
Sustainable development goals,43
research,42
Colombia,42
dietary supplement,42
substrate,42
Construction wastes,42
power generation,42
exploitation,42
Nitrates,42
Byproducts,42
Hydrogenation,42
Fashion industry,42
Asia,42
social aspect,42
economic model,42
Gold,42
Obsolescence,42
bovine,42
bioethanol,42
Resource management,42
Carbon fibers,42
nutrient dynamics,42
Circular designs,42
informal sector,42
Large-scales,42
Moisture,42
Polymer composite,42
Microwaves,42
Environmental remediation,42
participatory approach,42
Wool,42
Productivity,42
Molecules,42
precipitation (chemistry),42
Electric arcs,42
Project management,42
Least squares approximations,42
Shells (structures),42
Silver,42
phenol,42
Chromium compounds,41
Iron oxides,41
Cogeneration plants,41
X ray photoemission spectroscopy,41
retention time,41
construction,41
Water energy,41
Production system,41
Bottom ash,41
Environmental Pollutants,41
Taiwan,41
Carbohydrates,41
Building Information Modelling,41
Hydrocarbons,41
ultrafiltration,41
Fisheries,41
Zea mays,41
Economic assessments,41
Managers,41
power supply,41
Resource depletion,41
Methylene Blue,41
Bioactivity,41
Energy systems,41
Life Cycle,41
Concrete industry,41
fresh water,41
Nanocrystals,41
In-buildings,41
Asphalt mixtures,41
Processing,41
sulfuric acid,41
Thermochemical Conversion,41
resource allocation,41
Environmental impact assessments,41
olive oil,41
Finance,41
Beer,40
solar power,40
Economics analysis,40
South Korea,40
decentralization,40
Waste biomass,40
food supply,40
sodium chloride,40
Microbial fuel cells,40
electric potential,40
Solubility,40
Sludge,40
Consumer products,40
employment,40
Carbon black,40
organic fertilizer,40
Batch reactors,40
local participation,40
Catalyst selectivity,40
coal,40
Nanofibers,40
Electrocatalysts,40
Africa,40
population growth,40
hydraulic retention time,40
Electrochemicals,40
protein content,40
practice guideline,40
Design of experiments,40
Landfilling,40
silicon,40
institutional framework,40
Czech Republic,40
thermal conductivity,40
Ketones,40
Circular bioeconomy,40
resource economy,40
Manufacturing companies,40
Recycling strategy,40
Seawater,40
Oryza,40
Biofertilizers,39
System Dynamics,39
sustainable agriculture,39
Semi structured interviews,39
growth,39
Renewable sources,39
CH 4,39
Food production,39
Technology transfer,39
Prospectives,39
Sustainable process,39
Secondary materials,39
Marine pollution,39
Amides,39
Nuclear magnetic resonance spectroscopy,39
Metal nanoparticles,39
Energy management,39
stakeholder engagement,39
Graphite,39
estimation method,39
Epoxy resins,39
Seed,39
Closed loop systems,39
Aliphatic compounds,39
environmental planning,39
