keyword,frequency
Antioxidants,33
Sustainability transitions,33
Environmental assessment,33
Resources,33
Life Cycle Assessment (LCA),33
By-product,33
sustainable,33
biopolymers,33
sustainable production,33
IoT,32
European Green Deal,32
Sustainable supply chain management,32
Photocatalysis,32
VOSviewer,32
business model innovation,32
Waste Management,32
GHG emissions,32
GIS,32
Consumer behaviour,32
recycle,32
artificial intelligence,32
Antioxidant activity,31
Circular construction,31
Life cycle analysis,31
Waste treatment,31
Systems thinking,31
Digital technologies,31
optimization,31
biowaste,31
Material efficiency,31
Kinetics,31
polymers,31
Incineration,31
Methane,31
bioplastics,31
fermentation,31
Phosphorus recovery,31
Internet of things,31
eco-innovation,31
eco-design,31
packaging,31
Value chain,30
Sustainable design,30
Waste reduction,30
Entrepreneurship,30
Simulation,30
Biotechnology,30
Framework,30
Data envelopment analysis,30
Life-cycle assessment,30
Building materials,30
food security,30
Microstructure,30
circular bioeconomy,30
Sustainable materials,30
waste-to-energy,30
BIM,29
Disassembly,29
Construction materials,29
Lithium-ion battery,29
closed-loop supply chain,29
Nutrient recycling,29
transition,29
Blockchain technology,29
Biofertilizer,29
Catalysis,29
Copper,29
Secondary raw materials,29
Biopolymer,29
Energy consumption,29
Antioxidant,29
Landfill,29
antioxidant,29
circular design,29
carbon footprint,29
microplastics,29
energy recovery,29
Sustainable Development,29
agricultural waste,29
biofuels,28
extended producer responsibility,28
Food supply chain,28
Bioethanol,28
Biomaterials,28
Construction sector,28
Life cycle,28
Remediation,28
industry 4.0,28
Brazil,28
aquaculture,28
Australia,28
Performance,28
Product-service system,28
Food,28
Environmental policy,28
carbon neutrality,28
Biogas upgrading,28
Ecodesign,28
plastic,28
greenhouse gas emissions,28
lithium-ion batteries,28
Nature-based solutions,27
life cycle assessment (LCA),27
Economic analysis,27
Desalination,27
Mining waste,27
Hydrochar,27
Education,27
Sustainable management,27
Circular cities,27
Big data,27
Soil amendment,27
Stakeholder engagement,27
developing countries,27
SDG,27
Buildings,27
critical raw materials,27
Africa,27
construction industry,27
Deep learning,27
Polyethylene terephthalate,27
extraction,27
hydrogen,26
Steel,26
Black soldier fly,26
resilience,26
biomethane,26
digestate,26
Chitosan,26
organic waste,26
phosphorus,26
Pretreatment,26
Recyclability,26
Life cycle thinking,26
Circular supply chain management,26
Scenario analysis,26
Plastic waste management,26
Life cycle costing,26
Sustainable business model,26
Bioconversion,26
Greenhouse gases,26
biotechnology,26
MCDM,26
repair,26
digital technologies,26
consumer behavior,26
Value creation,25
Composite,25
Carbon emissions,25
Bibliometrics,25
composites,25
Torrefaction,25
Fashion industry,25
indicators,25
Sustainable energy,25
CO<sub>2</sub>,25
AHP,25
decarbonization,25
Decarbonization,25
electric vehicles,25
nutrient recovery,25
Risk assessment,25
Bioproducts,25
green economy,25
PLS-SEM,25
Indicator,25
textile waste,25
Industry 5.0,25
Process simulation,25
environmental impacts,25
Waste hierarchy,25
sustainable fashion,25
energy transition,25
EU,24
Nanocellulose,24
corporate social responsibility,24
circular economy practices,24
Waste electrical and electronic equipment,24
Building,24
Ecosystem services,24
compost,24
Italy,24
Sustainable business models,24
Biosolids,24
Production,24
Rheology,24
Legislation,24
Environmental protection,24
Cultural heritage,24
Biocomposites,24
circular supply chain,24
Internet of Things,24
Textile industry,24
Plastic packaging,24
Resource management,24
Nickel,24
mechanical recycling,24
Strategy,24
life cycle,24
Content analysis,23
Phytoremediation,23
Circular city,23
Cities,23
Spent coffee grounds,23
Digital transformation,23
Catalytic pyrolysis,23
product design,23
Depolymerization,23
Circular Economy (CE),23
Poland,23
lithium-ion battery,23
Environmental pollution,23
value-added products,23
CE,23
Carbon emission,23
Polypropylene,23
gasification,23
solid waste,23
CO<sub>2</sub> capture,23
Material flow analysis (MFA),23
Biohydrogen,23
Separation,23
biodegradation,23
Biodegradable,23
chitosan,23
biopolymer,23
polypropylene,23
Social sustainability,22
Refurbishment,22
Carotenoids,22
Microbial community,22
Recycled aggregates,22
Energy storage,22
sustainable manufacturing,22
Slag,22
Biodiversity,22
Wastes,22
Regeneration,22
stakeholder engagement,22
Hydrolysis,22
Raw materials,22
sustainable materials,22
Waste prevention,22
Batteries,22
zero waste,22
LCC,22
stakeholders,22
Dynamic capabilities,22
efficiency,22
Sustainable supply chain,22
waste recovery,22
fashion,22
dynamic capabilities,22
built environment,22
Circular economy practices,22
sustainable construction,22
SME,21
Toxicity,21
Eutrophication,21
drivers,21
Zero-waste,21
Competitiveness,21
Syngas,21
Biosorption,21
Precipitation,21
Climate change mitigation,21
Algae,21
Organic fertilizer,21
catalysis,21
Product-service systems,21
concrete,21
composite,21
economic growth,21
Enzymatic hydrolysis,21
Waste utilization,21
review,21
Green extraction,21
active packaging,21
nitrogen,21
Textile,21
Thermal conductivity,21
black soldier fly,21
Natural resources,21
SEM,21
antimicrobial activity,21
life-cycle assessment,21
CSR,21
water treatment,21
waste to energy,21
batteries,20
Construction waste,20
Multi-objective optimization,20
Bioleaching,20
Modeling,20
Construction and demolition waste (CDW),20
Sensitivity analysis,20
depolymerization,20
bioremediation,20
Degradation,20
Institutional theory,20
Smart city,20
Nutrients recovery,20
Sustainability transition,20
Carbon capture,20
Municipal solid waste management,20
Electric vehicle,20
Waste generation,20
Urban sustainability,20
Vietnam,20
biodiesel,20
end-of-life,20
durability,20
Dark fermentation,20
Polyethylene,20
waste recycling,20
Servitization,20
Nanotechnology,20
Zeolite,20
solid waste management,20
Sustainable performance,20
manufacturing,20
Re-use,19
Hazardous waste,19
energy storage,19
Agri-food,19
Wastewater reuse,19
Automotive industry,19
Sustainable fashion,19
TOPSIS,19
Recycled aggregate,19
End-of-life vehicles,19
Food industry,19
Thermal insulation,19
Social network analysis,19
Decarbonisation,19
Infrastructure,19
Embodied carbon,19
Nutrient removal,19
Ethanol,19
Closed-loop,19
Circular economy strategies,19
Battery recycling,19
bioethanol,19
Waste plastic,19
hydrometallurgy,19
Triple bottom line,19
Circularity assessment,19
Regulation,19
sharing economy,19
Decoupling,19
polyethylene,19
nature-based solutions,19
Geopolymers,18
Textiles,18
Urban agriculture,18
Biomass waste,18
Nanoparticles,18
Technological innovation,18
Microwave,18
FTIR,18
Industry,18
Linear economy,18
Textile recycling,18
Biogas production,18
Green supply chain management,18
Green synthesis,18
nutrients,18
Catalyst,18
waste reduction,18
Implementation,18
Pollutants,18
Multi-criteria decision analysis,18
Bottom ash,18
Covid-19,18
Game theory,18
urban mining,18
industrial waste,18
sustainable design,18
Pre-treatment,18
resources,18
Landfill mining,18
Materials,18
Environmental performance,18
Carbon sequestration,18
Strategies,18
Environmental remediation,18
waste valorisation,18
traceability,18
enablers,18
Ghana,18
characterization,18
Bio-oil,17
Thermal treatment,17
blockchain technology,17
Immobilization,17
Deconstruction,17
Latin America,17
Char,17
Ammonia,17
systems thinking,17
Anaerobic co-digestion,17
Fashion,17
Consumption,17
Solar energy,17
digital technology,17
Green Deal,17
Thermal stability,17
spent coffee grounds,17
Phytotoxicity,17
Photovoltaic,17
Food safety,17
Water quality,17
Polylactic acid,17
Glycolysis,17
European union,17
Multi-criteria decision making,17
Process optimization,17
Marine litter,17
Critical metals,17
polyethylene terephthalate,17
Sorption,17
bioplastic,17
Cost-benefit analysis,17
buildings,17
consumption,17
Eco-industrial parks,17
Polystyrene,17
End-of-life management,17
management,17
Process intensification,17
ESG,17
textile industry,17
environmental protection,17
governance,17
biofuel,17
by-product,17
polyolefins,17
functional foods,17
Supercritical fluid extraction,16
Thailand,16
Modelling,16
biomaterials,16
Heavy metal,16
Pyrometallurgy,16
biocomposites,16
Monitoring,16
Energy production,16
Lignocellulose,16
textiles,16
Sustainable circular economy,16
Techno-economic assessment,16
Pharmaceuticals,16
Urban planning,16
bioconversion,16
Supplementary cementitious materials,16
Antioxidant capacity,16
recyclability,16
Waste pickers,16
circular cities,16
Rice straw,16
Design for disassembly,16
Repurposing,16
Bio-waste,16
Process integration,16
Water management,16
Zinc,16
Steel slag,16
Reverse osmosis,16
Economic assessment,16
environmental management,16
urban metabolism,16
Combustion,16
Bibliometric,16
Circular fashion,16
Protein,16
Assessment,16
Bioactivity,16
Metabolic engineering,16
municipal waste,16
Strength,16
Decision making,16
Electrodialysis,16
Uncertainty,16
Volatile fatty acids,16
degradation,16
ionic liquids,16
Transitions,16
Circular strategies,16
Composite materials,16
Emissions,16
Sustainable Development Goals (SDGs),16
Global warming,16
Sustainable development goals (SDGs),16
Agri-food waste,16
Nitrogen recovery,16
chitin,16
Material recovery,16
lignocellulosic biomass,16
water,16
Polyester,16
digital transformation,16
building materials,16
CO<sub>2</sub> reduction,16
valorisation,16
Agro-waste,16
fertilizer,16
techno-economic analysis,16
nanotechnology,16
food industry,16
MFA,16
biodegradable,16
greenhouse gases,16
Green technology,16
grape pomace,16
Bacteria,16
rare earth elements,16
water reuse,16
methane,15
Digital twin,15
Green deal,15
Treatment,15
Fatty acids,15
eco-efficiency,15
SWOT,15
nanomaterials,15
Waste materials,15
Ceramics,15
enzymatic hydrolysis,15
Nanofiltration,15
Ultrafiltration,15
Transesterification,15
Greenhouse gas,15
Closed-loop recycling,15
Global South,15
Polysaccharides,15
Nanomaterials,15
Sustainable operations,15
Renewable resources,15
Adsorbent,15
photocatalysis,15
Net zero,15
ecodesign,15
Lactic acid,15
Urbanization,15
cement,15
Higher education,15
social sustainability,15
Biogas plant,15
CiteSpace,15
Food loss and waste,15
Transformation,15
Ion exchange,15
Quality,15
Biodegradability,15
Supply chains,15
Municipal solid waste (MSW),15
Circular product design,15
lignocellulose,15
Material reuse,15
Red mud,15
Circular supply chains,15
Polyurethane,15
Malaysia,15
Artificial neural network,15
Economics,15
Bio-economy,15
Resource utilization,15
carbon dioxide,15
Recycling rate,15
South Africa,15
Emerging pollutants,15
biodiversity,15
Spain,15
Consumer acceptance,15
Marketing,15
Digitalisation,15
Printed circuit boards,15
consumer behaviour,15
Contamination,15
decision-making,15
Panel data,15
Waste biomass,15
system dynamics,15
Catalysts,15
design,15
Fungi,15
food supply chain,15
soil health,15
survey,15
circular fashion,15
nutrient recycling,15
strategy,15
carotenoids,15
Thermal energy storage,15
Closed loop supply chain,15
Emerging economy,15
Portugal,15
Sustainability performance,15
Japan,15
rheology,15
leaching,15
life cycle analysis,15
systematic review,15
microstructure,15
response surface methodology,15
plastic packaging,14
Food loss,14
Geopolymer concrete,14
Global warming potential,14
Saccharomyces cerevisiae,14
Lithium,14
Ionic liquids,14
Cheese whey,14
Clean energy,14
Proteins,14
Consumers,14
Cobalt,14
Forecasting,14
Waste cooking oil,14
Cluster analysis,14
Supercapacitors,14
Industrial Symbiosis,14
Metrics,14
polyhydroxyalkanoates,14
technology,14
Industry 4.0 technologies,14
Recycled concrete,14
Waste electrical and electronic equipment (WEEE),14
Circularity metrics,14
polymer,14
Sorting,14
Tourism,14
Green energy,14
Cosmetics,14
Photovoltaics,14
Social life cycle assessment,14
Sanitation,14
polyurethane,14
COVID-19 pandemic,14
Green innovation,14
Livestock,14
Wastewater management,14
electrocatalysis,14
plastic waste management,14
soil,14
organic fertilizer,14
Environmental impact assessment,14
Meta-analysis,14
Industrial applications,14
Sustainability indicators,14
Eco-industrial park,14
battery recycling,14
Membrane technology,14
value creation,14
Plant growth,14
modeling,14
Sustainable innovation,14
ReSOLVE framework,14
Network analysis,14
Thermodynamics,14
Product service systems,14
Membranes,14
entrepreneurship,14
Circularity indicator,14
edible insects,14
sustainable supply chain,14
polylactic acid,14
Biocatalysis,14
Macroalgae,14
Environmental,14
incineration,14
collaboration,14
geopolymer,14
logistics,14
automotive industry,14
decision making,14
framework,14
functional food,14
starch,14
education,14
Fertilizers,13
Regional development,13
green technology,13
Urine,13
Case studies,13
Applications,13
Public policy,13
E-Waste,13
Biosorbent,13
Life cycle sustainability assessment,13
Food system,13
Multi-criteria decision-making,13
Wastewater treatment plant,13
Soil,13
Substance flow analysis,13
C&D waste,13
Water scarcity,13
Denitrification,13
Nutraceuticals,13
Circular economy implementation,13
Functional food,13
Phosphogypsum,13
Fish waste,13
Solvent extraction,13
sustainable chemistry,13
Irrigation,13
Solid-state fermentation,13
Resource-based view,13
Fast fashion,13
Safety,13
Lipids,13
Horticulture,13
MSW,13
Biocomposite,13
Waste plastics,13
Energy policy,13
Big data analytics,13
Co-digestion,13
infrastructure,13
Barrier,13
phytochemicals,13
Olive pomace,13
metals,13
Thermochemical conversion,13
Ecological footprint,13
Hydrothermal liquefaction,13
Mortar,13
Input-output analysis,13
Demolition,13
linear economy,13
Sustainable economy,13
Emergy analysis,13
Precious metals,13
Design for sustainability,13
glycerol,13
Analytic hierarchy process,13
Rebound effect,13
Impact assessment,13
food safety,13
material efficiency,13
Emerging economies,13
fashion industry,13
Sustainable packaging,13
economic development,13
soil fertility,13
Construction and demolition waste management,13
Consumer,13
hydrothermal carbonization,13
environmental performance,13
European countries,13
fatty acids,13
fungi,13
Emerging contaminants,13
Deep eutectic solvents,13
kinetics,13
Logistics,13
electric vehicle,13
metal recovery,13
mining,13
Green hydrogen,13
compressive strength,13
bioleaching,13
The Netherlands,12
Agricultural residues,12
Cascading,12
Critical success factors,12
Circular economy principles,12
Mass balance,12
Waste disposal,12
Public procurement,12
Biomimicry,12
practices,12
Upcycle,12
closed-loop,12
Health,12
sustainable energy,12
Product development,12
Bio-based economy,12
nanocellulose,12
Sediments,12
Willingness to pay,12
Biomass ash,12
Anaerobic digestate,12
Degrowth,12
EPR,12
urban sustainability,12
processing,12
Classification,12
Delphi method,12
Economic sustainability,12
Electrocatalysis,12
Bio-based,12
design for disassembly,12
waste treatment,12
Purchase intention,12
Exergy,12
Hydrogel,12
byproducts,12
Plastics recycling,12
Micro level,12
Single-use plastics,12
Flavonoids,12
Text mining,12
Plastic wastes,12
Arsenic,12
Soil remediation,12
antimicrobial,12
Animal feed,12
Waste policy,12
Feed,12
Water footprint,12
CO<sub>2</sub> emission,12
Glycerol,12
Lithium ion battery,12
Lifecycle,12
Traceability,12
Wood waste,12
biomass valorization,12
Environmental governance,12
Agro-industrial waste,12
Taxonomy,12
Medical waste,12
Microplastic,12
Sweden,12
material flow analysis (MFA),12
Critical materials,12
Social innovation,12
Enzymes,12
Methanol,12
bibliometrics,12
soil amendment,12
clothing,12
Greece,12
Hydrogen production,12
Urban regeneration,12
GHG,12
Sustainable cities,12
Pectin,12
Closed-loop supply chains,12
Filler,12
steel,12
Industrial wastewater,12
Source separation,12
nutraceuticals,12
pretreatment,12
ISM,12
Optimisation,12
closed-loop supply chains,12
Collaborative consumption,12
Self-healing,12
Packaging waste,12
consumers,12
adaptive reuse,12
Finland,12
reverse osmosis,12
Structural equation modeling,12
Microbial fuel cell,12
green extraction,12
construction waste,12
pollution,12
electronic waste,12
marine litter,12
carbon emissions,12
Life cycle cost,12
Waste collection,12
Amino acids,12
Alkali-activated materials,12
economic analysis,12
resource management,12
OFMSW,12
bioproducts,12
value chain,12
Automotive,12
open innovation,12
green hydrogen,12
chemical composition,12
agro-industrial waste,12
agri-food waste,12
thermal conductivity,12
renewable energy sources,12
animal feed,12
sustainable development goals (SDGs),12
electrodialysis,12
Green finance,12
Waste-to-resource,11
Mineral resources,11
Network design,11
Material circularity,11
Filamentous fungi,11
Water reclamation,11
Scale-up,11
Acid mine drainage,11
Sustainable entrepreneurship,11
Rice husk ash,11
Phosphorous,11
Biostimulants,11
Scientometric analysis,11
Fuzzy DEMATEL,11
Ecology,11
Platform chemicals,11
Li-ion batteries,11
Energy balance,11
Embodied energy,11
Closed loop,11
Green supply chain,11
Transportation,11
Battery,11
Economy,11
Chitin,11
Nutrient,11
Zeolites,11
EU countries,11
Construction material,11
Photobioreactor,11
Mitigation,11
Indonesia,11
PRISMA,11
Technologies,11
Soil fertility,11
Circular manufacturing,11
Methodology,11
Maintenance,11
Polymer composites,11
Circular society,11
Whey,11
International trade,11
municipal solid waste management,11
Waste minimization,11
Desorption,11
Stakeholder theory,11
circular city,11
Obsolescence,11
Green growth,11
Frass,11
Sustainable environment,11
Water absorption,11
Knowledge,11
Fertigation,11
Phosphorus removal,11
Coal fly ash,11
Pharmaceutical,11
Economic feasibility,11
stakeholder theory,11
Air pollution,11
Disposal,11
amino acids,11
Smart cities,11
Mechanical performance,11
AI,11
Multi-criteria analysis,11
Fruit waste,11
Circular business model innovation,11
Greenhouse gas emission,11
Nigeria,11
Electrospinning,11
Cooperation,11
Reverse supply chain,11
cities,11
urban planning,11
Decision support system,11
Oil,11
Polymer,11
Polyolefins,11
glycolysis,11
sustainability reporting,11
Behaviour change,11
Electronics,11
Fibers,11
PFAS,11
construction materials,11
thermal properties,11
food,11
DEA,11
Blue economy,11
Plastic packaging waste,11
competitiveness,11
Biodegradable waste,11
Digital technology,11
Product recovery,11
Sustainable resource management,11
Material Flow Analysis,11
Biofertilizers,11
Chemical industry,11
Ecosystem,11
circularity indicators,11
Carbon,11
Collagen,11
enzymes,11
lithium,11
critical materials,11
Techno-economics,11
Metagenomics,11
Reliability,11
Business,11
solid-state fermentation,11
Microbial fuel cells,11
sustainability transitions,11
fast fashion,11
Methylene blue,11
pectin,11
Anaerobic fermentation,11
Nanocomposites,11
flavonoids,11
Digital economy,11
corporate sustainability,11
reduce,11
Waste to wealth,11
sustainable management,11
sustainable waste management,11
Bio-based products,11
green innovation,11
Theory of planned behavior,11
Financial performance,11
material recovery,11
digital twin,11
thermal insulation,11
Strategic planning,11
sustainability assessment,11
end of life,11
development,11
Carbon nanotubes,11
Sustainable aquaculture,11
bio-based materials,11
phenolics,11
hydrolysis,11
Supercapacitor,11
digitalisation,11
LDPE,11
phytotoxicity,11
cluster analysis,11
sustainable packaging,11
sustainability transition,11
green synthesis,11
bibliometric,11
irrigation,11
regulation,11
smart city,11
bio-waste,11
Tenebrio molitor,10
Principal component analysis,10
Sustainable concrete,10
Developing country,10
Urban development,10
Waste reuse,10
CCU,10
Project management,10
Critical raw material,10
recycled aggregates,10
Co-creation,10
Biostimulant,10
Porosity,10
Electrical and electronic equipment,10
sustainable supply chain management,10
Microbiome,10
protein,10
Residual biomass,10
supercapacitors,10
Sustainable urban development,10
Regenerative agriculture,10
CDW,10
Membrane,10
Copper recovery,10
Electrodeposition,10
network analysis,10
Leachate,10
Ash,10
Regulations,10
Poultry,10
sustainable cities,10
Robust optimization,10
Research agenda,10
Tailings,10
Material circularity indicator,10
Extended producer responsibility (EPR),10
CO<sub>2</sub> sequestration,10
Circular economy transition,10
Carbon dots,10
HDPE,10
Environmental Sustainability,10
Recycled aggregate concrete,10
Development,10
Bangladesh,10
End of life,10
Design of experiments,10
Design for Disassembly,10
End-of-Life,10
Spent mushroom substrate,10
Phosphate,10
Flexibility,10
Yield,10
Nutrient cycling,10
Recycled plastics,10
Sustainable tourism,10
Sustainable consumption and production,10
Genetic algorithm,10
Industrial wastes,10
Starch,10
Sustainable development goal,10
Biodegradable plastics,10
plastics recycling,10
cleaner production,10
ecosystem,10
Education for sustainable development,10
Yarrowia lipolytica,10
Migration,10
Food waste management,10
Municipal waste management,10
Business strategy,10
polysaccharides,10
Alkali activation,10
Product lifetime extension,10
Adaptability,10
Competitive advantage,10
Attitude,10
Mathematical modelling,10
Informal sector,10
Stakeholder,10
Awareness,10
Hospitality,10
Water pollution,10
Biorefineries,10
Functional foods,10
Waste-to-value,10
Lifecycle assessment,10
indicator,10
Qualitative research,10
Stochastic programming,10
SDG 12,10
Deep eutectic solvent,10
Agricultural wastes,10
Wood,10
Benefits,10
pH,10
Biological treatment,10
Organic acids,10
Succinic acid,10
Design guidelines,10
Recycled materials,10
Thermogravimetric analysis,10
Landfill leachate,10
Enhanced landfill mining,10
Biomass gasification,10
Policy analysis,10
Stabilization,10
Sustainable chemistry,10
green technologies,10
Calcium carbonate,10
Vermicomposting,10
Material flow,10
Reduction,10
Properties,10
Algal biomass,10
Health risk,10
RAP,10
cobalt,10
Water remediation,10
renewable resources,10
Bioprocess,10
Structural equation modelling,10
lactic acid,10
lactic acid bacteria,10
Restoration,10
food loss,10
Calcium phosphate,10
Nanocomposite,10
Additives,10
game theory,10
antioxidant capacity,10
Straw,10
Membrane bioreactor,10
Green transition,10
Resource productivity,10
Sustainable growth,10
institutional theory,10
Soil health,10
Minerals,10
Aluminum,10
Mechanical testing,10
design for recycling,10
Material footprint,10
awareness,10
Smart manufacturing,10
Dyes,10
Internet of Things (IoT),10
performance,10
supply chains,10
Circular procurement,10
Circular practices,10
PSS,10
social innovation,10
growth,10
Networks,10
Asia,10
Scenarios,10
nanoparticles,10
landfill,10
tourism,10
Thermal properties,10
WWTP,10
Energy sustainability,10
product-service systems,10
sustainable practices,10
energy consumption,10
eco-friendly,10
Just transition,10
Machine Learning,10
Bio-circular economy,10
risk assessment,10
environmental pollution,10
fertilizers,10
sensory analysis,10
Application,10
Adsorption mechanism,10
hydrochar,10
olive pomace,10
biofertilizer,10
Artificial intelligence (AI),10
construction sector,10
encapsulation,10
challenges,10
Open innovation,9
Waste tires,9
Delphi study,9
content analysis,9
structural equation modeling,9
Composite material,9
Engineered biochar,9
biomimicry,9
wood,9
Material recycling,9
Key performance indicators,9
Lean manufacturing,9
Insect meal,9
Contaminants of emerging concern,9
Secondary resources,9
Design education,9
Municipal wastewater,9
waste plastic,9
Renewable,9
Municipal Solid Waste,9
municipal solid waste (MSW),9
Building information modelling,9
Twitter,9
Steel industry,9
Social media,9
Waste to carbon,9
Economic development,9
Circular economies,9
ammonia,9
Chlorella,9
Residues,9
Fertiliser,9
Planetary boundaries,9
Pandemic,9
Fuzzy TOPSIS,9
Public awareness,9
Yeast,9
Natural fibers,9
Circular-economy,9
embodied carbon,9
Reusability,9
Reclaimed water,9
biodegradability,9
Adaptation,9
Domestic wastewater,9
Phytochemicals,9
ReSOLVE,9
CCUS,9
BWM,9
Bio-based materials,9
food waste valorization,9
Building sector,9
Antibiotics,9
Building industry,9
Life cycle management,9
Capacitive deionization,9
Systemic design,9
Processing,9
Renewable energies,9
Product lifetime,9
GC-MS,9
MICMAC,9
RSM,9
Ceramic,9
Second life,9
Rare earths,9
Food by-products,9
Circular tourism,9
Social enterprise,9
Biomethanation,9
Physical properties,9
Electric arc furnace slag,9
Product life cycle,9
Emission,9
Bacterial cellulose,9
Industrial park,9
Sustainable production and consumption,9
Raw material,9
Donnan dialysis,9
Supply chain integration,9
